"elo","carm_elo","selected_team","opposing_team"
1690,1781,"Golden State","Golden State"
1680,1677,"LA Clippers","LA Clippers"
1711,1677,"Cleveland","Cleveland"
1686,1648,"San Antonio","San Antonio"
1602,1620,"Toronto","Toronto"
1567,1605,"Utah","Utah"
1633,1577,"Oklahoma City","Oklahoma City"
1574,1565,"Charlotte","Charlotte"
1552,1562,"Houston","Houston"
1529,1560,"Chicago","Chicago"
1522,1537,"Boston","Boston"
1536,1536,"Portland","Portland"
1443,1529,"Minnesota","Minnesota"
1599,1519,"Atlanta","Atlanta"
1519,1506,"Detroit","Detroit"
1441,1472,"Denver","Denver"
1441,1450,"Memphis","Memphis"
1468,1447,"Dallas","Dallas"
1486,1445,"Washington","Washington"
1421,1444,"New York","New York"
1421,1440,"LA Lakers","LA Lakers"
1433,1437,"Sacramento","Sacramento"
1489,1433,"Indiana","Indiana"
1432,1422,"Milwaukee","Milwaukee"
1406,1415,"Orlando","Orlando"
1528,1403,"Miami","Miami"
1360,1399,"New Orleans","New Orleans"
1357,1370,"Phoenix","Phoenix"
1360,1345,"Brooklyn","Brooklyn"
1256,1326,"Philadelphia","Philadelphia"
