"","DATE","PLAYER_FULL_NAME","Cluster","points","assists","offensive_rebounds","defensive_rebounds","turnovers","threepointers_made","threepoint_attempts","steals","minutes","fieldgoal_attempts","fieldgoals_made","freethrow_attempts","freethrows_made","fouls","blocks"
"1",2015-12-02,"Aaron Harrison",0,2,0,0,1,0,0,0,0,6.52,1,1,2,0,0,0
"2",2016-03-25,"Alan Williams",0,6,0,2,3,1,0,0,1,11.05,3,2,4,2,4,0
"3",2014-11-10,"Alex Kirk",0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0
"4",2016-02-22,"Alex Stepheson",0,2,0,1,0,0,0,0,0,7.05,1,1,0,0,3,1
"5",2014-10-29,"Alexey Shved",0,18,5,1,2,0,3,6,0,23.93,11,5,6,5,4,0
"6",2014-11-04,"Andre Dawkins",0,0,0,0,0,0,0,1,0,2.1,1,0,0,0,0,0
"7",2016-03-14,"Andrew Goudelock",0,11,2,0,0,0,1,2,1,16.77,7,5,0,0,2,1
"8",2015-11-10,"Anthony Brown",0,0,0,0,0,0,0,0,1,2.9,0,0,0,0,0,0
"9",2014-10-29,"Archie Goodwin",0,0,1,0,1,0,0,0,0,9.8,2,0,0,0,1,0
"10",2016-03-06,"Axel Toupane",0,0,1,0,1,0,0,2,0,13.15,4,0,0,0,2,0
"11",2015-11-02,"Boban Marjanovic",0,1,0,0,0,0,0,0,0,1.37,0,0,2,1,0,0
"12",2016-01-02,"Branden Dawson",0,2,0,2,1,0,0,0,0,9.4,2,1,0,0,0,0
"13",2014-11-05,"Brandon Rush",0,0,0,0,0,0,0,0,0,4.97,1,0,0,0,1,0
"14",2014-11-15,"Brendan Haywood",0,4,0,1,3,1,0,0,0,8.5,5,2,0,0,1,0
"15",2015-03-10,"Bryce Cotton",0,2,1,0,0,0,0,1,0,4.35,1,0,2,2,0,0
"16",2016-01-23,"Bryce Dejean-Jones",0,3,0,0,0,0,1,1,0,1.55,1,1,0,0,0,0
"17",2014-11-20,"Cameron Bairstow",0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0
"18",2015-11-08,"Cameron Payne",0,0,0,0,0,0,0,1,0,1.98,1,0,0,0,0,0
"19",2014-10-29,"Chris Copeland",0,11,2,0,2,1,2,7,0,26.18,11,4,2,1,1,1
"20",2015-10-30,"Christian Wood",0,3,0,0,0,0,0,1,0,5.47,1,0,4,3,0,0
"21",2014-10-29,"CJ Miles",0,15,2,0,1,1,2,8,0,33.18,17,6,1,1,4,0
"22",2014-12-06,"CJ Wilcox",0,3,0,0,0,0,1,1,0,3.07,1,1,0,0,0,0
"23",2014-11-05,"Cleanthony Early",0,3,0,0,1,0,1,1,0,6.18,1,1,0,0,0,0
"24",2014-12-03,"Clint Capela",0,0,0,3,0,2,0,0,1,4.27,6,0,2,0,1,1
"25",2016-03-16,"Coty Clarke",0,0,0,0,0,1,0,0,0,0.03,0,0,0,0,0,0
