"DATE","PLAYER_FULL_NAME","Cluster","season"
2017-10-24,"Aaron Brooks",0,2017
2017-10-25,"Aaron Brooks",0,2017
2017-10-18,"Alec Burks",0,2017
2017-10-20,"Alex Len",0,2017
2017-10-24,"Alex Poythress",0,2017
2017-10-25,"Alex Poythress",0,2017
2017-10-28,"Ante Zizic",0,2017
2017-10-25,"Bam Adebayo",0,2017
2017-10-21,"Boban Marjanovic",0,2017
2017-10-21,"Bobby Brown",0,2017
2017-10-27,"Bobby Brown",0,2017
2017-10-18,"Brandan Wright",0,2017
2017-10-18,"Brandan Wright",0,2017
2017-10-21,"Brandon Paul",0,2017
2017-10-23,"Brandon Paul",0,2017
2017-10-25,"Brandon Paul",0,2017
2017-10-27,"Brandon Paul",0,2017
2017-10-21,"Bryn Forbes",0,2017
2017-10-27,"Bryn Forbes",0,2017
2017-10-21,"Cedi Osman",0,2017
2017-10-28,"Cedi Osman",0,2017
2017-10-24,"Cheick Diallo",0,2017
2017-10-26,"Cheick Diallo",0,2017
2017-10-28,"Cheick Diallo",0,2017
2017-10-25,"Cole Aldrich",0,2017
2017-10-28,"Dakari Johnson",0,2017
2017-10-24,"Damyean Dotson",0,2017
2017-10-27,"Damyean Dotson",0,2017
2017-10-20,"Daniel Theis",0,2017
2017-10-24,"Daniel Theis",0,2017
2017-10-27,"Davis Bertans",0,2017
2017-10-19,"Denzel Valentine",0,2017
2017-10-27,"Derrick White",0,2017
2017-10-28,"Deyonta Davis",0,2017
2017-10-18,"Domantas Sabonis",0,2017
2017-10-18,"Eric Moreland",0,2017
2017-10-27,"Frank Ntilikina",0,2017
2017-10-19,"Fred VanVleet",0,2017
2017-10-21,"Fred VanVleet",0,2017
2017-10-24,"Guerschon Yabusele",0,2017
2017-10-24,"Ike Anigbogu",0,2017
2017-10-25,"Ike Anigbogu",0,2017
2017-10-22,"Isaiah Taylor",0,2017
2017-10-23,"Isaiah Taylor",0,2017
2017-10-26,"Isaiah Taylor",0,2017
2017-10-18,"Jake Layman",0,2017
2017-10-19,"Jakob Poeltl",0,2017
2017-10-21,"Jeff Withey",0,2017
2017-10-18,"Jeremy Lamb",0,2017
2017-10-20,"Joe Young",0,2017
2017-10-24,"Joe Young",0,2017
2017-10-25,"Joe Young",0,2017
2017-10-18,"John Henson",0,2017
2017-10-23,"Jordan Bell",0,2017
2017-10-25,"Jordan Bell",0,2017
2017-10-21,"Jose Calderon",0,2017
2017-10-22,"Josh Hart",0,2017
2017-10-22,"Josh Hart",0,2017
2017-10-19,"Josh Huestis",0,2017
2017-10-21,"Josh Huestis",0,2017
2017-10-22,"Josh Huestis",0,2017
2017-10-25,"Josh Huestis",0,2017
2017-10-20,"Josh Magette",0,2017
2017-10-22,"Josh Magette",0,2017
2017-10-26,"Josh Magette",0,2017
2017-10-28,"Josh Smith",0,2017
2017-10-21,"Juan Hernangomez",0,2017
2017-10-21,"Justin Anderson",0,2017
2017-10-21,"Kenneth Faried",0,2017
2017-10-27,"Kevon Looney",0,2017
2017-10-19,"Kyle O'Quinn",0,2017
2017-10-21,"Lucas Nogueira",0,2017
2017-10-18,"Luke Babbitt",0,2017
2017-10-21,"Malachi Richardson",0,2017
2017-10-18,"Malcolm Delaney",0,2017
2017-10-21,"Malik Beasley",0,2017
2017-10-23,"Malik Beasley",0,2017
2017-10-25,"Malik Beasley",0,2017
2017-10-27,"Malik Beasley",0,2017
2017-10-25,"Marcus Georges-Hunt",0,2017
2017-10-27,"Marcus Georges-Hunt",0,2017
2017-10-20,"Mario Hezonja",0,2017
2017-10-19,"Montrezl Harrell",0,2017
2017-10-21,"Montrezl Harrell",0,2017
2017-10-28,"Nick Collison",0,2017
2017-10-23,"Omri Casspi",0,2017
2017-10-27,"Omri Casspi",0,2017
2017-10-19,"Pascal Siakam",0,2017
2017-10-21,"Pascal Siakam",0,2017
2017-10-25,"Pascal Siakam",0,2017
2017-10-18,"Pat Connaughton",0,2017
2017-10-18,"Rashad Vaughn",0,2017
2017-10-20,"Rashad Vaughn",0,2017
2017-10-21,"Raul Neto",0,2017
2017-10-24,"Royce O'Neale",0,2017
2017-10-18,"Rudy Gay",0,2017
2017-10-19,"Sam Dekker",0,2017
2017-10-21,"Sam Dekker",0,2017
2017-10-28,"Sam Dekker",0,2017
2017-10-20,"Shane Larkin",0,2017
2017-10-21,"Sindarius Thornwell",0,2017
2017-10-24,"Sindarius Thornwell",0,2017
2017-10-26,"Sindarius Thornwell",0,2017
2017-10-28,"Sindarius Thornwell",0,2017
2017-10-27,"Terrance Ferguson",0,2017
2017-10-28,"Terrance Ferguson",0,2017
2017-10-18,"Timofey Mozgov",0,2017
2017-10-23,"Tomas Satoransky",0,2017
2017-10-27,"Tomas Satoransky",0,2017
2017-10-21,"Trey Lyles",0,2017
2017-10-25,"Trey Lyles",0,2017
2017-10-21,"Troy Williams",0,2017
2017-10-28,"Troy Williams",0,2017
2017-10-22,"Tyler Dorsey",0,2017
2017-10-23,"Tyler Dorsey",0,2017
2017-10-22,"Tyler Ennis",0,2017
2017-10-22,"Tyler Ennis",0,2017
2017-10-27,"Tyler Ennis",0,2017
2017-10-28,"Tyler Ennis",0,2017
2017-10-27,"Tyler Zeller",0,2017
2017-10-27,"Wes Iwundu",0,2017
