"DATE","PLAYER_FULL_NAME","Cluster","season","minutes"
2019-12-30,"Adam Mokoka",0,2019,2.55
2020-01-24,"Adam Mokoka",0,2019,2.82
2020-01-31,"Adam Mokoka",0,2019,3.55
2020-02-02,"Adam Mokoka",0,2019,4.43
2020-02-06,"Adam Mokoka",0,2019,5.12
2020-02-22,"Adam Mokoka",0,2019,17
2020-02-23,"Adam Mokoka",0,2019,18.43
2020-02-25,"Adam Mokoka",0,2019,19.15
2019-12-14,"Admiral Schofield",0,2019,20.87
2019-12-28,"Alen Smailagic",0,2019,19.58
2019-11-18,"Alize Johnson",0,2019,2.95
2019-11-25,"Alize Johnson",0,2019,2.55
2019-11-27,"Alize Johnson",0,2019,2.17
2019-12-02,"Alize Johnson",0,2019,0.5
2019-12-15,"Alize Johnson",0,2019,2.37
2019-12-28,"Alize Johnson",0,2019,3.95
2020-01-08,"Alize Johnson",0,2019,2.67
2020-02-23,"Alize Johnson",0,2019,4.4
2020-03-04,"Alize Johnson",0,2019,3.48
2020-08-06,"Alize Johnson",0,2019,2.07
2020-08-10,"Alize Johnson",0,2019,6.3
2020-08-12,"Alize Johnson",0,2019,17.37
2020-08-14,"Alize Johnson",0,2019,38.32
2019-11-01,"Amile Jefferson",0,2019,5.6
2019-11-08,"Amile Jefferson",0,2019,3.12
2019-11-25,"Amile Jefferson",0,2019,0.27
2019-12-04,"Amile Jefferson",0,2019,2.58
2019-12-09,"Amile Jefferson",0,2019,1.2
2019-12-13,"Amile Jefferson",0,2019,4.27
2019-12-20,"Amile Jefferson",0,2019,2.15
2019-12-28,"Amile Jefferson",0,2019,1.8
2019-12-30,"Amile Jefferson",0,2019,6.33
2020-01-01,"Amile Jefferson",0,2019,13.07
2020-01-04,"Amile Jefferson",0,2019,0.75
2020-01-08,"Amile Jefferson",0,2019,5.58
2020-01-10,"Amile Jefferson",0,2019,16.38
2020-01-16,"Amile Jefferson",0,2019,4.53
2020-01-20,"Amile Jefferson",0,2019,2.25
2020-01-26,"Amile Jefferson",0,2019,1.17
2020-01-27,"Amile Jefferson",0,2019,2.52
2020-02-05,"Amile Jefferson",0,2019,0.78
2020-01-04,"Amir Coffey",0,2019,4.43333333333333
2020-02-08,"Amir Coffey",0,2019,10.4
2020-02-09,"Amir Coffey",0,2019,24.52
2020-03-10,"Amir Coffey",0,2019,8.58
2020-07-30,"Amir Coffey",0,2019,5.32
2020-08-01,"Amir Coffey",0,2019,4.07
2020-08-06,"Amir Coffey",0,2019,0.25
2020-08-12,"Amir Coffey",0,2019,1.98
2020-08-14,"Amir Coffey",0,2019,49.63
2020-08-03,"Andre Roberson",0,2019,9.77
2020-08-05,"Andre Roberson",0,2019,11.13
2019-10-23,"Anfernee Simons",0,2019,12.27
2020-01-11,"Antonius Cleveland",0,2019,1.93
2020-01-14,"Antonius Cleveland",0,2019,8.02
2020-02-01,"Antonius Cleveland",0,2019,2.02
2020-02-05,"Antonius Cleveland",0,2019,4.1
2020-02-08,"Antonius Cleveland",0,2019,2.4
2020-07-31,"Antonius Cleveland",0,2019,0.02
2020-08-02,"Antonius Cleveland",0,2019,3.25
2020-08-04,"Antonius Cleveland",0,2019,3.55
2020-08-10,"Antonius Cleveland",0,2019,3.37
2020-08-13,"Antonius Cleveland",0,2019,13.2
2020-08-25,"Antonius Cleveland",0,2019,7.22
2020-08-30,"Antonius Cleveland",0,2019,1.88
2019-10-30,"Ben McLemore",0,2019,7.77
2019-11-01,"Ben McLemore",0,2019,21.33
2019-12-04,"BJ Johnson",0,2019,2.58
2020-01-08,"BJ Johnson",0,2019,5.58
2020-01-15,"BJ Johnson",0,2019,22.7
2020-01-27,"BJ Johnson",0,2019,2.52
2020-02-03,"BJ Johnson",0,2019,4.08
2020-02-05,"BJ Johnson",0,2019,0.78
2020-08-11,"BJ Johnson",0,2019,19.22
2020-08-13,"BJ Johnson",0,2019,17.1
2020-02-28,"Boban Marjanovic",0,2019,0.02
2020-03-01,"Boban Marjanovic",0,2019,2.08
2020-03-02,"Boban Marjanovic",0,2019,22.32
2020-03-06,"Boban Marjanovic",0,2019,4.15
2020-03-08,"Boban Marjanovic",0,2019,5.53
2020-03-10,"Boban Marjanovic",0,2019,8.77
2020-03-11,"Boban Marjanovic",0,2019,31.43
2020-08-06,"Bol Bol",0,2019,24.72
2019-12-04,"Brandon Goodwin",0,2019,2.98
2019-12-27,"Brandon Goodwin",0,2019,14.22
2019-12-28,"Brandon Goodwin",0,2019,12.4
2019-11-16,"Brian Bowen II",0,2019,4.77
2019-11-18,"Brian Bowen II",0,2019,2.33
2020-03-06,"Brian Bowen II",0,2019,14.88
2020-02-20,"Bruno Caboclo",0,2019,5.18
