"","Variable","Coeff","DATE","AUROC","N"
"1","share_minutes_cluster_0",-0.560342914769118,2015-10-27,0.757088829271928,1311
"2","share_minutes_cluster_1",0.0911040724622894,2015-10-27,0.757088829271928,1311
"3","share_minutes_cluster_2",-1.42951895498969,2015-10-27,0.757088829271928,1311
"4","share_minutes_cluster_3",0.472611465923678,2015-10-27,0.757088829271928,1311
"5","share_minutes_cluster_4",-1.90471411078291,2015-10-27,0.757088829271928,1311
"6","share_minutes_cluster_5",-0.395176483461411,2015-10-27,0.757088829271928,1311
"7","share_minutes_cluster_6",-1.06646173008603,2015-10-27,0.757088829271928,1311
"8","share_minutes_cluster_7",-1.19779342053304,2015-10-27,0.757088829271928,1311
"9","share_minutes_cluster_8",-0.492182515460323,2015-10-27,0.757088829271928,1311
"10","share_minutes_cluster_9",1.28477496170913,2015-10-27,0.757088829271928,1311
"11","share_minutes_cluster_10",0.784067059628607,2015-10-27,0.757088829271928,1311
"12","share_minutes_cluster_11",-0.228999840804325,2015-10-27,0.757088829271928,1311
"13","share_minutes_cluster_12",0.612550696693585,2015-10-27,0.757088829271928,1311
"14","share_minutes_cluster_13",-0.378880795661693,2015-10-27,0.757088829271928,1311
"15","share_minutes_cluster_14",-0.564450268311177,2015-10-27,0.757088829271928,1311
"16","share_minutes_cluster_15",-0.360581417000863,2015-10-27,0.757088829271928,1311
"17","share_minutes_cluster_16",-2.14957455415384,2015-10-27,0.757088829271928,1311
"18","share_minutes_cluster_17",2.1711911566397,2015-10-27,0.757088829271928,1311
"19","share_minutes_cluster_18",0,2015-10-27,0.757088829271928,1311
"20","share_minutes_cluster_19",-0.777618635772016,2015-10-27,0.757088829271928,1311
"21","share_minutes_cluster_20",0.581909972467002,2015-10-27,0.757088829271928,1311
"22","share_minutes_cluster_21",-2.36891077277739,2015-10-27,0.757088829271928,1311
"23","share_minutes_cluster_22",-1.55162221826106,2015-10-27,0.757088829271928,1311
"24","share_minutes_cluster_23",-0.827413670039968,2015-10-27,0.757088829271928,1311
"25","share_minutes_cluster_24",0.551561599781353,2015-10-27,0.757088829271928,1311
"26","share_minutes_cluster_25",0.500204133201617,2015-10-27,0.757088829271928,1311
"27","home_team_selected",0.317726012816045,2015-10-27,0.757088829271928,1311
"28","early_season",-0.0158563514616291,2015-10-27,0.757088829271928,1311
"29","winrate_selected_team",2.32046638505256,2015-10-27,0.757088829271928,1311
"30","winrate_opposing_team",-2.61031824583819,2015-10-27,0.757088829271928,1311
"31","travel_differential",9.42245944458304e-05,2015-10-27,0.757088829271928,1311
"32","rest_differential",0.0408141829300893,2015-10-27,0.757088829271928,1311
"33","share_minutes_cluster_0",-0.588315530868353,2015-10-28,0.758023532139338,1314
"34","share_minutes_cluster_1",0.124733420861776,2015-10-28,0.758023532139338,1314
"35","share_minutes_cluster_2",-1.62888128400961,2015-10-28,0.758023532139338,1314
"36","share_minutes_cluster_3",0.525058786255516,2015-10-28,0.758023532139338,1314
"37","share_minutes_cluster_4",-1.96216275047519,2015-10-28,0.758023532139338,1314
"38","share_minutes_cluster_5",-0.417319193124546,2015-10-28,0.758023532139338,1314
"39","share_minutes_cluster_6",-1.16118738285276,2015-10-28,0.758023532139338,1314
"40","share_minutes_cluster_7",-1.30373878330704,2015-10-28,0.758023532139338,1314
"41","share_minutes_cluster_8",-0.55222858061061,2015-10-28,0.758023532139338,1314
"42","share_minutes_cluster_9",1.31813399621089,2015-10-28,0.758023532139338,1314
"43","share_minutes_cluster_10",0.85456778568052,2015-10-28,0.758023532139338,1314
"44","share_minutes_cluster_11",-0.237928739602332,2015-10-28,0.758023532139338,1314
"45","share_minutes_cluster_12",0.708571279170567,2015-10-28,0.758023532139338,1314
"46","share_minutes_cluster_13",-0.376426465768381,2015-10-28,0.758023532139338,1314
"47","share_minutes_cluster_14",-0.60997689563019,2015-10-28,0.758023532139338,1314
"48","share_minutes_cluster_15",-0.389277798743453,2015-10-28,0.758023532139338,1314
"49","share_minutes_cluster_16",-2.30217840848272,2015-10-28,0.758023532139338,1314
"50","share_minutes_cluster_17",2.30671235285737,2015-10-28,0.758023532139338,1314
"51","share_minutes_cluster_18",0,2015-10-28,0.758023532139338,1314
"52","share_minutes_cluster_19",-0.803569597443867,2015-10-28,0.758023532139338,1314
"53","share_minutes_cluster_20",0.597641516769959,2015-10-28,0.758023532139338,1314
"54","share_minutes_cluster_21",-2.57177828245832,2015-10-28,0.758023532139338,1314
"55","share_minutes_cluster_22",-1.72941129748835,2015-10-28,0.758023532139338,1314
"56","share_minutes_cluster_23",-0.883747129638021,2015-10-28,0.758023532139338,1314
"57","share_minutes_cluster_24",0.591057727945544,2015-10-28,0.758023532139338,1314
"58","share_minutes_cluster_25",0.531744868588514,2015-10-28,0.758023532139338,1314
"59","home_team_selected",0.344349968785444,2015-10-28,0.758023532139338,1314
