"","share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","home_team_selected","early_season","winrate_selected_team","winrate_opposing_team","travel_differential","rest_differential","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team"
"1",0,0,0.0783207420674183,0.0487207928236216,0.142554517898458,-0.0202344827480248,-0.000198108505070847,0,0.0175320275304541,0.000325175665634836,0.125339450740242,0,-0.14504867800359,-0.0504290484069761,-0.0998902176356188,0.0212949282079083,0,0,0,-0.0084270386032685,-0.0847472785354397,0.0228946564400177,0,-0.174941694010525,0,-0.0695758768959132,0,0,0.467605920873268,-1.07834749145658,-0.180397980651057,0,"2015-10-27  aadeeeeGllnnNoOrsSttw",2015-10-27,"Golden State","New Orleans","New Orleans","Golden State"
"2",0,-0.0120257662287883,0,0,0,-0.0651247928110857,-0.0101980196288763,-0.062755373880242,0,0.349034951163737,-0.103045633936678,-0.0296916770947044,-0.0832862309103043,0,-0.0498863770100827,0.00594313935442284,0,0,0,0.0798126159626256,0.0736690588091066,0.0801492504534407,0.0393944759833112,0.1693937732346,-0.0735905842940318,0.0687108886503892,0.317726012816045,0,0.602540498886522,-0.437336357146836,0.056297595961109,0,"2015-10-27aaADeilnortttt",2015-10-27,"Atlanta","Detroit","Atlanta","Detroit"
"3",-0.00256533645380222,0,0,-0.00360964981501928,0,0,0,0.0957899310560231,-0.00225246662263849,0.166640693161796,0,0,-0.0636177331468726,0,0.00217041414485886,-0.036219041570131,0,0.347974005674583,0,0,0.00482136675057091,-0.0827910149292033,0,0.0753195483747946,-0.0745469750071212,-0.08079244968083,0,0,0.864247106774803,-0.63052023212392,-0.0289573256332585,0,"2015-10-27aacCCdeeghillnov",2015-10-27,"Chicago","Cleveland","Cleveland","Chicago"
"4",-0.0203106924278313,-0.0149007952549367,-0.110788061586114,0.129148661926962,0,-0.0289853618453636,0.02955258750732,-0.0409724806934829,0,0,-0.102960326084878,0,0.0189896435805885,0,-0.0131637013603929,0.0219269932362841,0,0.355905977599419,0,0.104295530321875,0,0.08654014836242,0,-0.0219473921567741,0,-0.0721826721342331,0.344349968785444,-0.0412472357992238,0,0,0.0415705325166562,0,"2015-10-28  aaaAChiiklmnnnoooOStty",2015-10-28,"Oklahoma City","San Antonio","Oklahoma City","San Antonio"
"5",0.019908080281346,0,0,0,0.106333731128776,-0.0140606015282078,0.0773788971424028,-0.134547856825716,0.0544600437478477,0.0238834704068703,0.12442523192602,0,0.0894332569928311,-0.0554832768346744,0.129243537099921,0.0181519674669752,0,0,0,0.12978290121847,0,0,0,-0.0946567482794419,0.0909764330863588,-0.078708301237681,0,-0.0412472357992238,0,0,-0.0356537457547524,0,"2015-10-28 aaAcCeeilLmnopprrsSt",2015-10-28,"Sacramento","LA Clippers","LA Clippers","Sacramento"
"6",0,0.0139731975671793,0,-0.0278536700324233,0.0860589219704256,0,0,0.0737034985581776,0.00311952475644676,-0.18220250664495,0,-0.0443078096015408,0.0898978252087292,0,-0.135957721087301,0.0308594876063031,0.19080457545644,0,0,0.0225238159418877,0,0,-0.34588225949767,0.061129158261489,0,-0.0865733625370701,0.344349968785444,-0.0412472357992238,0,0,0.148785095483039,0,"2015-10-28 aaAeeikLLMnnorsst",2015-10-28,"LA Lakers","Minnesota","LA Lakers","Minnesota"
"7",0,-0.0020010204348824,0,-0.0541275068208107,0,0,-0.0620230500344493,0.0572488996147787,-0.0955729668479394,-0.180944446869184,-0.136061791969075,0,0,0.0501023770042191,0.0617556794760799,-0.0245928311254731,-0.233258700474919,0,0,0.0767091611343321,0.0877128549074711,0.204134901170129,0,-0.00635885824572651,0.0867576304158326,0,0.344349968785444,-0.0412472357992238,0,0,0.0526477716294464,-0.0429989301303457,"2015-10-28 aadeellnnNoOPrrstw",2015-10-28,"Portland","New Orleans","Portland","New Orleans"
"8",0,0,-0.0666554034477962,0,0,0.127267244291285,-0.0588218444276577,-0.0490606487349014,0.038029740827486,0,0,0.00463353652825737,0.0437026059666321,-0.0477527345299991,-0.0367137016787397,0,-0.127026314627903,0,0,0.163731358659418,0,0,0,0.199202089176435,0,0.153453877690149,0.344349968785444,-0.0412472357992238,0,0,0.0722110054941925,0,"2015-10-28 aeeeikklMNoruwwY",2015-10-28,"Milwaukee","New York","Milwaukee","New York"
"9",0,-0.0291193331852166,-0.0318900424971249,0,0,-0.0447441261648536,0,-0.0819471956105211,0.0495384404533059,-0.0291224785186924,0.112215845152175,0.0427371955463438,-0.136592837271157,0,0,0.0163124197226649,-0.263067011576635,0,0,-0.11739259614193,0,0.139326139653936,0,-0.257769913228657,0,0,0,-0.0412472357992238,0,0,-0.0267015223554889,0,"2015-10-28aaBdehhiillnoopPst",2015-10-28,"Boston","Philadelphia","Philadelphia","Boston"
"10",-0.0158735616351112,-0.0162373835080997,0,-0.061662651933694,0,-0.0407858234752448,-0.0295371686760189,0.0649588490224057,0.0115316810123076,0,0.098937817896256,-0.0343315900511929,-0.0847235940285648,0,-0.0359216928004419,-0.0120740541956821,0.168982131404714,0,0,0,0.0788805943920497,0.144566362820555,0,-0.038275230659904,0,0,0.344349968785444,-0.0412472357992238,0,0,0.0646251393563035,0,"2015-10-28aaCehiilmMortt",2015-10-28,"Miami","Charlotte","Miami","Charlotte"
"11",-0.0562199524047471,-0.0147218343458397,0,-0.0650153679993685,0,-0.0284995164481125,-0.0990541776130789,0.0565500523444795,-0.112998152862659,-0.168345810578503,0,0.0238804338464862,0.196041238888253,0,0.102461325136979,0.00430912209572161,0,0,0,0.0540010671789235,0.00270327602602041,0.0608525701247055,0,0,0,0.073002186587009,0.344349968785444,-0.0412472357992238,0,0,0.087254227695898,0,"2015-10-28aaDehillnoPsx",2015-10-28,"Phoenix","Dallas","Phoenix","Dallas"
"12",0,0.0185386388155417,0,0.0666176859300131,0,0.0129274986376772,-0.0127350066041585,0.176448008063105,0.0462875862047516,0.140941582735361,0,-0.0250394508347833,0,-0.00108799351416018,-0.0523916855073144,0.00154525420165696,0,0,0,-0.207303719550739,-0.0967594819664626,-0.111022612901864,0,0.223109741293692,-0.0812226124830224,-0.0791195981186834,0,-0.0412472357992238,0,0,-0.0748078412874509,0,"2015-10-28aadghilnnnooOrstW",2015-10-28,"Orlando","Washington","Washington","Orlando"
