"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","opposing_team_travel","opposing_team_rest","selected_team_rest","selected_team_travel","selected_team_matchup_wins","opposing_team_matchup_wins","fb","winrate_season_selected_team","winrate_season_selected_team_adj","winrate_season_opposing_team","winrate_season_opposing_team_adj","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","circumstaces","performance"
0.0519586890400115,0.0592275606262622,0,-0.0556020875343965,-0.0532051031752576,-0.0644460108294271,0,-0.0339458693398988,0,0.0110144165716094,0,0,0,-0.340300487491418,-0.0318381918983486,0,-0.0445854061061493,-0.00314440772028119,0.110311034348013,0.0744935090102517,0,-0.0186338541523966,0,0,0.0344988850692683,-0.00866527537598482,0,0,0,-0.297355802884887,0,0,0,1.44597523084118,0,-1.44198009429932,0,"2016-10-25  aaAdeeGilnnnnoooSSttt",2016-10-25,"Golden State","San Antonio","San Antonio","Golden State",-0.312862598958143,-0.297355802884887,0.00399513654185513
-0.155952917143478,0,0,-0.000621996429810681,0.0461835764314055,0.0481618081493176,-0.0349324851311208,0.0679522612200404,0,0,0.0496135993045636,0.00944372870636938,0,0.36416369497637,0.058242171320829,-0.0642453435379579,0,-0.00107036237146184,-0.0939489998280424,0,0,0,0,-0.0748240959730269,0,-0.0171711017119583,0.0949416120472846,0,0,0,0,0,0,1.48182585639922,0,-0.697663898565407,0,"2016-10-25 aCdeeekllnNorvwY",2016-10-25,"Cleveland","New York","Cleveland","New York",0.200993537982038,0.0949416120472846,0.784161957833816
-0.0677385128803337,-0.0498003760258311,0,0,0.0049744381326711,0.12457832641419,0.0941228963447983,-0.0266236790894409,0,-0.0171153044997861,0,0.0528801312990243,0,0.35930435658989,0.0416175038445789,0,-0.0370477525070959,-0.00380372240570073,-0.120560999216682,0,0,0,0.156845387884753,-0.0920711378406008,0.033075728559206,0.0192635895355314,0.149240068477046,0,0,0,0,0,0,1.08554152227373,0,-1.08726841334869,0,"2016-10-25aadhlnoPrttU",2016-10-25,"Portland","Utah","Portland","Utah",0.471900874139171,0.149240068477046,-0.00172689107495816
0,0.106662253616758,0,-0.0466143906473833,0.102950569560687,-0.142593962481304,0,-0.0500203751579228,0,0,0,-0.142180490521756,0,-0.4925678525799,0,0,0.0459708394104192,-0.00963293893117267,0,0,0,0,0,0,0.0645288381975653,0.014313405050675,0.299660765498081,0,0,0,0,0,2.66556066741335,0,0,0,0,"2016-10-26 aaaaCdehhhiiiklllmoOpPty",2016-10-26,"Philadelphia","Oklahoma City","Philadelphia","Oklahoma City",-0.549184104483336,0.299660765498081,0
0,0,0,0,-0.0192764136476495,-0.112915574997176,0.15017333817612,0,0,0,0,0,0.00255779819147714,0.672112721813185,0.0423005172537396,-0.0759565796113861,0,-0.00826541455989837,0,0.162502904933565,-0.0418461914506568,0,0,0,0.00863189564812967,0,0,0,0,-0.278465812885825,0,0,2.66556066741335,0,0,0,0,"2016-10-26 aAeHkLLnoorsstu",2016-10-26,"LA Lakers","Houston","Houston","LA Lakers",0.78001900174945,-0.278465812885825,0
0,0,0,0.133173442358873,0,0,0,0,0,0.00622424164340225,-0.0866249642092216,0.0634607337845229,0.000486272679452568,0,-0.0131286121942694,0,-0.0597061726143822,-0.0129185940728819,0,0,0.0383421204385057,-0.0949838623868008,0,0,0.0590266253029303,0,0,0,0,-0.2194716137222,0,0,2.66556066741335,0,0,0,0,"2016-10-26 aDeeeelnnNOrrsvw",2016-10-26,"New Orleans","Denver","Denver","New Orleans",0.0333512307301306,-0.2194716137222,0
0,0.0919634469603455,0,0.013144174096827,-0.0793740622018303,0,-0.108812289009231,-0.109209041823942,0,0,0,0,-0.00052914421471258,0,0.0520355203494777,0.13488287802482,-0.0854978720695544,0.00854707800018677,0.205696225707482,0,0,0,0,0,0,-0.0142928432764362,0.182074476410603,0,0,0,0,0,2.66556066741335,0,0,0,0,"2016-10-26aaaadDiIllnns",2016-10-26,"Indiana","Dallas","Indiana","Dallas",0.108554070543431,0.182074476410603,0
0,0.101925520580308,0,0.0677986685266836,-0.0866729266718236,0,-0.333060549041548,0,0,0.00939825172362099,0,0.0942214734981268,0.00334668793461402,0,0,0,0.0122471514303585,0.00712493237682615,0,0,0.0635496529082644,0.199250101569362,0,0,-0.0648550255633061,0,0.157063533909404,0,0,0,0,0,2.66556066741335,0,0,0,0,"2016-10-26aaCeeehikllMorttuw",2016-10-26,"Milwaukee","Charlotte","Milwaukee","Charlotte",0.0742739392714862,0.157063533909404,0
0.0796192841448192,0,0,0,-0.0723171459828817,0,0,-0.0500346021654319,0,0,0,-0.243204979413145,0.000555857132238655,0,0,0,-0.055477635355074,-0.00406963550024283,0,0,0.0386622951347953,0.13324657959222,0,0,-0.0446739030482556,0,0,0,0,-0.128831947957224,0,0,2.66556066741335,0,0,0,0,"2016-10-26aaceehimnnooPrStx",2016-10-26,"Phoenix","Sacramento","Sacramento","Phoenix",-0.217693885460958,-0.128831947957224,0
0.0927096396064054,0,-0.10798402605167,0,0.086126597373992,0,-0.11615137255086,-0.0703133356126878,0,0.0266284407446372,0,0,0.000658537538288513,0,0,0,0,0,0,0,0.0464084773168365,0.14852699187572,0,0,0,0.0250674738030956,0.0489438384498653,0,0,0,0,0,2.66556066741335,0,0,0,0,"2016-10-26aadiilmMnoOr",2016-10-26,"Orlando","Miami","Orlando","Miami",0.131677424043758,0.0489438384498653,0
