"","team","games","pred_win_rate"
"1","Philadelphia",82,0.024390243902439
"2","Brooklyn",82,0.0853658536585366
"3","LA Lakers",82,0.121951219512195
"4","Minnesota",82,0.182926829268293
"5","Phoenix",82,0.280487804878049
"6","New York",82,0.304878048780488
"7","Sacramento",82,0.353658536585366
"8","Denver",82,0.378048780487805
"9","Orlando",82,0.390243902439024
"10","Milwaukee",82,0.402439024390244
"11","Portland",93,0.408602150537634
"12","Dallas",87,0.413793103448276
"13","New Orleans",82,0.439024390243902
"14","Washington",82,0.463414634146341
"15","Utah",82,0.475609756097561
"16","Memphis",86,0.488372093023256
"17","Miami",96,0.520833333333333
"18","Detroit",86,0.523255813953488
"19","LA Clippers",88,0.568181818181818
"20","Charlotte",89,0.573033707865168
"21","Chicago",82,0.597560975609756
"22","Boston",88,0.613636363636364
"23","Indiana",89,0.629213483146067
"24","Atlanta",92,0.641304347826087
"25","Toronto",102,0.647058823529412
"26","Houston",87,0.689655172413793
"27","San Antonio",92,0.739130434782609
"28","Oklahoma City",100,0.79
"29","Golden State",101,0.940594059405941
"30","Cleveland",98,0.948979591836735
