"","team","games","pred_win_rate","conference"
"1","LA Lakers",82,0.0365853658536585,"West"
"2","Philadelphia",82,0.0731707317073171,"East"
"3","Brooklyn",82,0.182926829268293,"East"
"4","Phoenix",82,0.24390243902439,"West"
"5","New York",82,0.280487804878049,"East"
"6","Orlando",82,0.292682926829268,"East"
"7","Minnesota",82,0.353658536585366,"West"
"8","Dallas",87,0.35632183908046,"West"
"9","Denver",82,0.365853658536585,"West"
"10","New Orleans",82,0.378048780487805,"West"
"11","New Orleans",82,0.378048780487805,"West"
"12","Milwaukee",82,0.402439024390244,"East"
"13","Sacramento",82,0.414634146341463,"West"
"14","Utah",82,0.439024390243902,"West"
"15","Charlotte",89,0.471910112359551,"East"
"16","Portland",93,0.473118279569892,"West"
"17","Chicago",82,0.48780487804878,"East"
"18","Memphis",86,0.488372093023256,"West"
"19","Washington",82,0.524390243902439,"East"
"20","Boston",88,0.556818181818182,"East"
"21","Detroit",86,0.558139534883721,"East"
"22","Atlanta",92,0.58695652173913,"East"
"23","Miami",96,0.59375,"East"
"24","LA Clippers",88,0.602272727272727,"West"
"25","San Antonio",92,0.652173913043478,"West"
"26","Indiana",89,0.662921348314607,"East"
"27","Toronto",102,0.705882352941177,"East"
"28","Houston",87,0.724137931034483,"West"
"29","Oklahoma City",100,0.89,"West"
"30","Golden State",101,0.900990099009901,"West"
"31","Cleveland",98,0.918367346938776,"East"
