"team","games_season","games_played","pred_win_rate","ytd_win_rate","conference","division"
"Philadelphia",82,10,0.0731707317073171,0.1,"East","Atlantic"
"New Orleans",82,11,0.0853658536585366,0.181818181818182,"West","Southwest"
"Dallas",82,9,0.121951219512195,0.222222222222222,"West","Southwest"
"Miami",82,10,0.146341463414634,0.2,"East","Southeast"
"Orlando",82,11,0.170731707317073,0.363636363636364,"East","Southeast"
"Washington",82,9,0.207317073170732,0.222222222222222,"East","Southeast"
"Brooklyn",82,11,0.24390243902439,0.363636363636364,"East","Atlantic"
"New York",82,10,0.292682926829268,0.4,"East","Atlantic"
"Denver",82,10,0.304878048780488,0.3,"West","Northwest"
"Phoenix",82,11,0.329268292682927,0.272727272727273,"West","Pacific"
"Memphis",82,10,0.378048780487805,0.5,"West","Southwest"
"Sacramento",82,11,0.390243902439024,0.363636363636364,"West","Pacific"
"Indiana",82,11,0.475609756097561,0.454545454545455,"East","Central"
"Milwaukee",82,9,0.5,0.555555555555556,"East","Central"
"Utah",82,12,0.51219512195122,0.583333333333333,"West","Northwest"
"Minnesota",82,10,0.573170731707317,0.3,"West","Northwest"
"Charlotte",82,10,0.597560975609756,0.7,"East","Southeast"
"Detroit",82,11,0.597560975609756,0.545454545454545,"East","Central"
"Oklahoma City",82,11,0.597560975609756,0.545454545454545,"West","Northwest"
"San Antonio",82,11,0.597560975609756,0.727272727272727,"West","Southwest"
"LA Lakers",82,12,0.609756097560976,0.583333333333333,"West","Pacific"
"Chicago",82,11,0.658536585365854,0.636363636363636,"East","Central"
"Boston",82,10,0.670731707317073,0.5,"East","Atlantic"
"Houston",82,10,0.707317073170732,0.6,"West","Southwest"
"Portland",82,12,0.792682926829268,0.583333333333333,"West","Northwest"
"Toronto",82,10,0.792682926829268,0.7,"East","Atlantic"
"Atlanta",82,10,0.804878048780488,0.8,"East","Southeast"
"LA Clippers",82,11,0.853658536585366,0.909090909090909,"West","Pacific"
"Golden State",82,10,0.951219512195122,0.8,"West","Pacific"
"Cleveland",82,10,0.963414634146341,0.9,"East","Central"
