"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","future_win_rate","conference","division"
"Philadelphia",82,13,69,0.0853658536585366,0.230769230769231,0.0579710144927536,"East","Atlantic"
"Dallas",82,12,70,0.109756097560976,0.166666666666667,0.1,"West","Southwest"
"Miami",82,12,70,0.134146341463415,0.333333333333333,0.1,"East","Southeast"
"New Orleans",82,14,68,0.158536585365854,0.285714285714286,0.132352941176471,"West","Southwest"
"Phoenix",82,14,68,0.170731707317073,0.285714285714286,0.147058823529412,"West","Pacific"
"Brooklyn",82,12,70,0.182926829268293,0.333333333333333,0.157142857142857,"East","Atlantic"
"Washington",82,12,70,0.182926829268293,0.25,0.171428571428571,"East","Southeast"
"Sacramento",82,13,69,0.25609756097561,0.307692307692308,0.246376811594203,"West","Pacific"
"Minnesota",82,12,70,0.341463414634146,0.333333333333333,0.342857142857143,"West","Northwest"
"New York",82,12,70,0.353658536585366,0.416666666666667,0.342857142857143,"East","Atlantic"
"Orlando",82,13,69,0.378048780487805,0.461538461538462,0.36231884057971,"East","Southeast"
"Detroit",82,14,68,0.390243902439024,0.428571428571429,0.382352941176471,"East","Central"
"Indiana",82,13,69,0.402439024390244,0.461538461538462,0.391304347826087,"East","Central"
"Denver",82,12,70,0.414634146341463,0.333333333333333,0.428571428571429,"West","Northwest"
"Milwaukee",82,12,70,0.463414634146341,0.416666666666667,0.471428571428571,"East","Central"
"Memphis",82,13,69,0.51219512195122,0.615384615384615,0.492753623188406,"West","Southwest"
"LA Lakers",82,13,69,0.524390243902439,0.538461538461538,0.521739130434783,"West","Pacific"
"Utah",82,14,68,0.585365853658537,0.5,0.602941176470588,"West","Northwest"
"Boston",82,13,69,0.634146341463415,0.538461538461538,0.652173913043478,"East","Atlantic"
"Charlotte",82,12,70,0.658536585365854,0.666666666666667,0.657142857142857,"East","Southeast"
"Toronto",82,12,70,0.682926829268293,0.666666666666667,0.685714285714286,"East","Atlantic"
"Oklahoma City",82,13,69,0.707317073170732,0.615384615384615,0.72463768115942,"West","Northwest"
"Portland",82,14,68,0.731707317073171,0.5,0.779411764705882,"West","Northwest"
"San Antonio",82,13,69,0.74390243902439,0.769230769230769,0.739130434782609,"West","Southwest"
"Houston",82,13,69,0.75609756097561,0.615384615384615,0.782608695652174,"West","Southwest"
"Chicago",82,13,69,0.780487804878049,0.615384615384615,0.811594202898551,"East","Central"
"Atlanta",82,12,70,0.853658536585366,0.75,0.871428571428571,"East","Southeast"
"LA Clippers",82,14,68,0.890243902439024,0.857142857142857,0.897058823529412,"West","Pacific"
"Golden State",82,13,69,0.951219512195122,0.846153846153846,0.971014492753623,"West","Pacific"
"Cleveland",82,12,70,0.963414634146341,0.833333333333333,0.985714285714286,"East","Central"
