"team","games_season","games_played","pred_season_win_rate","ytd_win_rate","pred_win_rate","conference","division"
"Philadelphia",82,13,0.0731707317073171,0.230769230769231,0.072463768115942,"East","Atlantic"
"Dallas",82,12,0.0853658536585366,0.166666666666667,0.1,"West","Southwest"
"Miami",82,12,0.0975609756097561,0.333333333333333,0.0857142857142857,"East","Southeast"
"New Orleans",82,14,0.134146341463415,0.285714285714286,0.132352941176471,"West","Southwest"
"Brooklyn",82,12,0.158536585365854,0.333333333333333,0.157142857142857,"East","Atlantic"
"Phoenix",82,14,0.158536585365854,0.285714285714286,0.147058823529412,"West","Pacific"
"Washington",82,12,0.195121951219512,0.25,0.185714285714286,"East","Southeast"
"Sacramento",82,13,0.317073170731707,0.307692307692308,0.289855072463768,"West","Pacific"
"New York",82,12,0.341463414634146,0.416666666666667,0.328571428571429,"East","Atlantic"
"Minnesota",82,12,0.365853658536585,0.333333333333333,0.371428571428571,"West","Northwest"
"Detroit",82,14,0.390243902439024,0.428571428571429,0.382352941176471,"East","Central"
"Orlando",82,13,0.390243902439024,0.461538461538462,0.405797101449275,"East","Southeast"
"Denver",82,12,0.414634146341463,0.333333333333333,0.414285714285714,"West","Northwest"
"Milwaukee",82,12,0.426829268292683,0.416666666666667,0.414285714285714,"East","Central"
"Indiana",82,13,0.463414634146341,0.461538461538462,0.420289855072464,"East","Central"
"Memphis",82,13,0.548780487804878,0.615384615384615,0.521739130434783,"West","Southwest"
"LA Lakers",82,13,0.560975609756098,0.538461538461538,0.550724637681159,"West","Pacific"
"Utah",82,14,0.634146341463415,0.5,0.661764705882353,"West","Northwest"
"Boston",82,13,0.670731707317073,0.538461538461538,0.681159420289855,"East","Atlantic"
"Charlotte",82,12,0.670731707317073,0.666666666666667,0.657142857142857,"East","Southeast"
"Toronto",82,12,0.670731707317073,0.666666666666667,0.671428571428571,"East","Atlantic"
"San Antonio",82,13,0.695121951219512,0.769230769230769,0.739130434782609,"West","Southwest"
"Oklahoma City",82,13,0.707317073170732,0.615384615384615,0.695652173913043,"West","Northwest"
"Chicago",82,13,0.731707317073171,0.615384615384615,0.768115942028985,"East","Central"
"Portland",82,14,0.731707317073171,0.5,0.75,"West","Northwest"
"Atlanta",82,12,0.792682926829268,0.75,0.814285714285714,"East","Southeast"
"Houston",82,13,0.792682926829268,0.615384615384615,0.782608695652174,"West","Southwest"
"LA Clippers",82,14,0.865853658536585,0.857142857142857,0.867647058823529,"West","Pacific"
"Golden State",82,13,0.951219512195122,0.846153846153846,0.971014492753623,"West","Pacific"
"Cleveland",82,12,0.963414634146341,0.833333333333333,0.971428571428571,"East","Central"
