"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","future_win_rate","conference","division","pred_win_rate_538"
"Brooklyn",82,82,0,0.24390243902439,0.24390243902439,NA,"East","Atlantic",NA
"Phoenix",82,82,0,0.292682926829268,0.292682926829268,NA,"West","Pacific",NA
"LA Lakers",82,82,0,0.317073170731707,0.317073170731707,NA,"West","Pacific",NA
"Philadelphia",82,82,0,0.341463414634146,0.341463414634146,NA,"East","Atlantic",NA
"Orlando",82,82,0,0.353658536585366,0.353658536585366,NA,"East","Southeast",NA
"Minnesota",82,82,0,0.378048780487805,0.378048780487805,NA,"West","Northwest",NA
"New York",82,82,0,0.378048780487805,0.378048780487805,NA,"East","Atlantic",NA
"Sacramento",82,82,0,0.390243902439024,0.390243902439024,NA,"West","Pacific",NA
"Dallas",82,82,0,0.402439024390244,0.402439024390244,NA,"West","Southwest",NA
"New Orleans",82,82,0,0.414634146341463,0.414634146341463,NA,"West","Southwest",NA
"Charlotte",82,82,0,0.439024390243902,0.439024390243902,NA,"East","Southeast",NA
"Detroit",82,82,0,0.451219512195122,0.451219512195122,NA,"East","Central",NA
"Denver",82,82,0,0.48780487804878,0.48780487804878,NA,"West","Northwest",NA
"Chicago",82,82,0,0.5,0.5,NA,"East","Central",NA
"Miami",82,82,0,0.5,0.5,NA,"East","Southeast",NA
"Portland",82,82,0,0.5,0.5,NA,"West","Northwest",NA
"Indiana",82,82,0,0.51219512195122,0.51219512195122,NA,"East","Central",NA
"Milwaukee",82,82,0,0.51219512195122,0.51219512195122,NA,"East","Central",NA
"Atlanta",82,82,0,0.524390243902439,0.524390243902439,NA,"East","Southeast",NA
"Memphis",82,82,0,0.524390243902439,0.524390243902439,NA,"West","Southwest",NA
"Oklahoma City",82,82,0,0.573170731707317,0.573170731707317,NA,"West","Northwest",NA
"Washington",82,82,0,0.597560975609756,0.597560975609756,NA,"East","Southeast",NA
"Cleveland",82,82,0,0.621951219512195,0.621951219512195,NA,"East","Central",NA
"LA Clippers",82,82,0,0.621951219512195,0.621951219512195,NA,"West","Pacific",NA
"Toronto",82,82,0,0.621951219512195,0.621951219512195,NA,"East","Atlantic",NA
"Utah",82,82,0,0.621951219512195,0.621951219512195,NA,"West","Northwest",NA
"Boston",82,82,0,0.646341463414634,0.646341463414634,NA,"East","Atlantic",NA
"Houston",82,82,0,0.670731707317073,0.670731707317073,NA,"West","Southwest",NA
"San Antonio",82,82,0,0.74390243902439,0.74390243902439,NA,"West","Southwest",NA
"Golden State",82,82,0,0.817073170731707,0.817073170731707,NA,"West","Pacific",NA
