"team","games_season","games_played","games_future","season_win_rate","ytd_win_rate","ytd_pred_win_rate","future_win_rate","conference","division","pred_win_rate_538","seed"
"Milwaukee",82,22,60,0.70032839356551,0.863636363636364,0.904761904761905,0.640448804539531,"East","Central",0.75609756097561,1
"Toronto",82,21,61,0.653575047526185,0.714285714285714,0.75,0.632674654051592,"East","Atlantic",0.695121951219512,2
"Miami",82,21,61,0.620049174261147,0.714285714285714,0.75,0.587607086711705,"East","Southeast",0.597560975609756,3
"Philadelphia",82,22,60,0.597282566308223,0.681818181818182,0.714285714285714,0.566286173954571,"East","Atlantic",0.670731707317073,4
"Boston",82,20,62,0.593426653993601,0.75,0.789473684210526,0.542919123023794,"East","Atlantic",0.646341463414634,5
"Indiana",82,21,61,0.556791940660343,0.666666666666667,0.7,0.518966215313904,"East","Central",0.560975609756098,6
"Brooklyn",82,21,61,0.51673025364601,0.523809523809524,0.55,0.514293127852014,"East","Atlantic",0.475609756097561,7
"Orlando",82,21,61,0.469312112042365,0.476190476190476,0.5,0.466944150614326,"East","Southeast",0.48780487804878,8
"Chicago",82,22,60,0.433583139089234,0.363636363636364,0.380952380952381,0.45923029008862,"East","Central",0.329268292682927,9
"Detroit",82,22,60,0.425262280820897,0.363636363636364,0.4,0.447858450455226,"East","Central",0.390243902439024,10
"Charlotte",82,23,59,0.394616105532558,0.391304347826087,0.409090909090909,0.395907129723217,"East","Southeast",0.317073170731707,11
"Washington",82,20,62,0.391570211907891,0.35,0.368421052631579,0.40497995768463,"East","Southeast",0.414634146341463,12
"Cleveland",82,20,62,0.343464859482218,0.25,0.263157894736842,0.373614814153902,"East","Central",0.304878048780488,13
"Atlanta",82,22,60,0.329654347423522,0.227272727272727,0.238095238095238,0.367194274812146,"East","Southeast",0.365853658536585,14
"New York",82,22,60,0.320689175667852,0.181818181818182,0.19047619047619,0.371608540079398,"East","Atlantic",0.219512195121951,15
"LA Clippers",82,22,60,0.703111833336921,0.727272727272727,0.8,0.694252838893792,"West","Pacific",0.695121951219512,1
"LA Lakers",82,22,60,0.69606887252201,0.863636363636364,0.904761904761905,0.634627459113414,"West","Pacific",0.682926829268293,2
"Houston",82,21,61,0.666286194263007,0.666666666666667,0.7,0.666155211960107,"West","Southwest",0.707317073170732,3
"Dallas",82,21,61,0.643695389543628,0.714285714285714,0.75,0.619393802337336,"West","Southwest",0.634146341463415,4
"Denver",82,19,63,0.631519069012777,0.736842105263158,0.777777777777778,0.599754978715044,"West","Northwest",0.658536585365854,5
"Utah",82,22,60,0.526592875003544,0.545454545454545,0.571428571428571,0.51967692917151,"West","Northwest",0.609756097560976,6
"Portland",82,22,60,0.524390243902439,0.409090909090909,0.428571428571429,0.566666666666667,"West","Northwest",0.475609756097561,7
"Minnesota",82,20,62,0.479125136523713,0.5,0.526315789473684,0.472391309595879,"West","Northwest",0.48780487804878,8
"Phoenix",82,21,61,0.478223721932733,0.476190476190476,0.5,0.478923691778427,"West","Pacific",0.48780487804878,9
"Sacramento",82,20,62,0.448525077315434,0.4,0.421052631578947,0.464178328062349,"West","Pacific",0.426829268292683,10
"San Antonio",82,22,60,0.402722593185502,0.363636363636364,0.380952380952381,0.417054210686853,"West","Southwest",0.329268292682927,11
"Oklahoma City",82,20,62,0.393765393604867,0.4,0.421052631578947,0.391754230251598,"West","Northwest",0.475609756097561,12
"New Orleans",82,22,60,0.381416561980276,0.272727272727273,0.285714285714286,0.421269301373043,"West","Southwest",0.451219512195122,13
"Memphis",82,21,61,0.368468440180322,0.285714285714286,0.3,0.396957575324368,"West","Southwest",0.329268292682927,14
"Golden State",82,23,59,0.309752335765272,0.173913043478261,0.181818181818182,0.362706636148344,"West","Pacific",0.304878048780488,15
