team,conference,division
Atlanta,East,Southeast
Boston,East,Atlantic
Brooklyn,East,Atlantic
Charlotte,East,Southeast
Chicago,East,Central
Cleveland,East,Central
Dallas,West,Southwest
Denver,West,Northwest
Detroit,East,Central
Golden State,West,Pacific
Houston,West,Southwest
Indiana,East,Central
LA Clippers,West,Pacific
LA Lakers,West,Pacific
Memphis,West,Southwest
Miami,East,Southeast
Milwaukee,East,Central
Minnesota,West,Northwest
New Jersey,East,Atlantic
New Orleans,West,Southwest
New York,East,Atlantic
Oklahoma City,West,Northwest
Orlando,East,Southeast
Philadelphia,East,Atlantic
Phoenix,West,Pacific
Portland,West,Northwest
Sacramento,West,Pacific
San Antonio,West,Southwest
Seattle,West,Northwest
Toronto,East,Atlantic
Utah,West,Northwest
Washington,East,Southeast
