"elo","carm_elo","wins_538","losses_538","selected_team","opposing_team","pred_win_rate_538"
1725,1795,66,16,"Golden State","Golden State",0.804878048780488
1667,1664,58,24,"LA Clippers","LA Clippers",0.707317073170732
1687,1657,58,24,"San Antonio","San Antonio",0.707317073170732
1622,1642,56,26,"Toronto","Toronto",0.682926829268293
1650,1624,54,28,"Cleveland","Cleveland",0.658536585365854
1601,1618,54,28,"Houston","Houston",0.658536585365854
1571,1598,50,32,"Utah","Utah",0.609756097560976
1622,1579,48,34,"Oklahoma City","Oklahoma City",0.585365853658537
1543,1572,49,33,"Chicago","Chicago",0.597560975609756
1588,1567,48,34,"Detroit","Detroit",0.585365853658537
1539,1548,46,36,"Boston","Boston",0.560975609756098
1534,1528,44,38,"Charlotte","Charlotte",0.536585365853659
1516,1516,41,41,"Portland","Portland",0.5
1486,1492,41,41,"Memphis","Memphis",0.5
1412,1476,33,49,"Minnesota","Minnesota",0.402439024390244
1446,1462,39,43,"New York","New York",0.475609756097561
1469,1455,37,45,"Milwaukee","Milwaukee",0.451219512195122
1432,1445,36,46,"Denver","Denver",0.439024390243902
1491,1445,37,45,"Atlanta","Atlanta",0.451219512195122
1444,1443,33,49,"Sacramento","Sacramento",0.402439024390244
1415,1440,32,50,"New Orleans","New Orleans",0.390243902439024
1473,1438,33,49,"Washington","Washington",0.402439024390244
1525,1437,34,48,"Miami","Miami",0.414634146341463
1477,1437,35,47,"Indiana","Indiana",0.426829268292683
1419,1437,35,47,"LA Lakers","LA Lakers",0.426829268292683
1428,1436,33,49,"Orlando","Orlando",0.402439024390244
1420,1405,28,54,"Dallas","Dallas",0.341463414634146
1361,1375,27,55,"Phoenix","Phoenix",0.329268292682927
1264,1314,21,61,"Philadelphia","Philadelphia",0.25609756097561
1313,1300,22,60,"Brooklyn","Brooklyn",0.268292682926829
