"carm_elo_full","carm_elo","wins_538","losses_538","chance_making_finals","chance_winning_finals","selected_team","opposing_team","pred_win_rate_538","Five38_name"
1710,1691,61,21,"35%","22%","LA Lakers","LA Lakers",0.74390243902439,"Lakers"
1710,1710,57,25,"32%","20%","LA Clippers","LA Clippers",0.695121951219512,"Clippers"
1686,1686,64,18,"38%","18%","Milwaukee","Milwaukee",0.780487804878049,"Bucks"
1703,1670,53,29,"34%","16%","Philadelphia","Philadelphia",0.646341463414634,"ers"
1702,1646,54,28,"20%","12%","Houston","Houston",0.658536585365854,"Rockets"
1664,1501,56,26,"17%","6%","Boston","Boston",0.682926829268293,"Celtics"
1638,1632,55,27,"7%","3%","Denver","Denver",0.670731707317073,"Nuggets"
1623,1606,56,26,"9%","2%","Toronto","Toronto",0.682926829268293,"Raptors"
1639,1543,50,32,"2%","<1%","Dallas","Dallas",0.609756097560976,"Mavericks"
1603,1603,52,30,"2%","<1%","Utah","Utah",0.634146341463415,"Jazz"
1596,1598,39,43,"<1%","<1%","New Orleans","New Orleans",0.475609756097561,"Pelicans"
1554,1551,53,29,"2%","<1%","Miami","Miami",0.646341463414634,"Heat"
1574,1564,48,34,"<1%","<1%","Oklahoma City","Oklahoma City",0.585365853658537,"Thunder"
1590,1509,40,42,"<1%","<1%","Portland","Portland",0.48780487804878,"TrailBlazers"
1544,1529,47,35,"<1%","<1%","Indiana","Indiana",0.573170731707317,"Pacers"
1555,1518,38,44,"<1%","<1%","Orlando","Orlando",0.463414634146341,"Magic"
1547,1397,37,45,"<1%","<1%","Brooklyn","Brooklyn",0.451219512195122,"Nets"
1458,1369,31,51,"<1%","<1%","Chicago","Chicago",0.378048780487805,"Bulls"
1466,1434,36,46,"<1%","<1%","Memphis","Memphis",0.439024390243902,"Grizzlies"
1471,1471,35,47,"<1%","<1%","San Antonio","San Antonio",0.426829268292683,"Spurs"
1473,1427,29,53,"<1%","<1%","Atlanta","Atlanta",0.353658536585366,"Hawks"
1408,1406,28,54,"<1%","<1%","Washington","Washington",0.341463414634146,"Wizards"
1497,1509,33,49,"<1%","<1%","Sacramento","Sacramento",0.402439024390244,"Kings"
1499,1521,33,49,"<1%","<1%","Phoenix","Phoenix",0.402439024390244,"Suns"
1403,1351,27,55,"<1%","<1%","Detroit","Detroit",0.329268292682927,"Pistons"
1318,1318,24,58,"<1%","<1%","Charlotte","Charlotte",0.292682926829268,"Hornets"
1446,1382,26,56,"<1%","<1%","Minnesota","Minnesota",0.317073170731707,"Timberwolves"
1515,1359,23,59,"<1%","<1%","Golden State","Golden State",0.280487804878049,"Warriors"
1300,1313,23,59,"<1%","<1%","New York","New York",0.280487804878049,"Knicks"
1327,1329,20,62,"<1%","<1%","Cleveland","Cleveland",0.24390243902439,"Cavaliers"
