"carm_elo_full","carm_elo","wins_538","losses_538","chance_making_finals","chance_winning_finals","selected_team","opposing_team","Five38_name"
1770,1770,0,0,0,0,"LA Clippers","LA Clippers","Clippers"
1751,1729,0,0,0,0,"Boston","Boston","Celtics"
1746,1725,0,0,0,0,"Houston","Houston","Rockets"
1733,1728,0,0,0,0,"LA Lakers","LA Lakers","Lakers"
1696,1709,0,0,0,0,"Toronto","Toronto","Raptors"
1690,1690,0,0,0,0,"Milwaukee","Milwaukee","Bucks"
1649,1649,0,0,0,0,"Miami","Miami","Heat"
1665,1656,0,0,0,0,"Denver","Denver","Nuggets"
1634,1625,0,0,0,0,"Utah","Utah","Jazz"
1668,1647,0,0,0,0,"Dallas","Dallas","Mavericks"
1572,1572,0,0,0,0,"Oklahoma City","Oklahoma City","Thunder"
1582,1520,0,0,0,0,"Orlando","Orlando","Magic"
1577,1423,0,0,0,0,"Portland","Portland","TrailBlazers"
1740,1659,0,0,0,0,"Philadelphia","Philadelphia","ers"
1597,1530,0,0,0,0,"Indiana","Indiana","Pacers"
1595,1381,0,0,0,0,"Brooklyn","Brooklyn","Nets"
1606,1606,0,0,0,0,"New Orleans","New Orleans","Pelicans"
1572,1572,0,0,0,0,"Phoenix","Phoenix","Suns"
1510,1521,0,0,0,0,"Sacramento","Sacramento","Kings"
1534,1481,0,0,0,0,"Golden State","Golden State","Warriors"
1477,1477,0,0,0,0,"Minnesota","Minnesota","Timberwolves"
1451,1451,0,0,0,0,"Atlanta","Atlanta","Hawks"
1457,1438,0,0,0,0,"Chicago","Chicago","Bulls"
1481,1430,0,0,0,0,"San Antonio","San Antonio","Spurs"
1448,1422,0,0,0,0,"Memphis","Memphis","Grizzlies"
1371,1371,0,0,0,0,"Detroit","Detroit","Pistons"
1348,1348,0,0,0,0,"Cleveland","Cleveland","Cavaliers"
1331,1331,0,0,0,0,"Charlotte","Charlotte","Hornets"
1441,1317,0,0,0,0,"Washington","Washington","Wizards"
1293,1293,0,0,0,0,"New York","New York","Knicks"
