"OWN_TEAM","PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Atlanta","DeAndre Bembry",NA,NA,NA,NA
"Atlanta","Dennis Schroder",NA,NA,NA,NA
"Atlanta","Dwight Howard",NA,NA,NA,NA
"Atlanta","Kent Bazemore",NA,NA,NA,NA
"Atlanta","Kris Humphries",NA,NA,NA,NA
"Atlanta","Kyle Korver","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Atlanta","Malcolm Delaney",NA,NA,NA,NA
"Atlanta","Mike Muscala",NA,NA,NA,NA
"Atlanta","Paul Millsap",NA,NA,NA,NA
"Atlanta","Ryan Kelly",NA,NA,NA,NA
"Atlanta","Taurean Prince",NA,NA,NA,NA
"Atlanta","Thabo Sefolosha",NA,NA,NA,NA
"Atlanta","Tim Hardaway Jr.",NA,NA,NA,NA
"Boston","Al Horford",NA,NA,NA,NA
"Boston","Amir Johnson",NA,NA,NA,NA
"Boston","Avery Bradley",NA,NA,NA,NA
"Boston","Demetrius Jackson",NA,NA,NA,NA
"Boston","Gerald Green",NA,NA,NA,NA
"Boston","Isaiah Thomas",NA,NA,NA,NA
"Boston","Jae Crowder","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Boston","James Young",NA,NA,NA,NA
"Boston","Jaylen Brown",NA,NA,NA,NA
"Boston","Jonas Jerebko",NA,NA,NA,NA
"Boston","Jordan Mickey",NA,NA,NA,NA
"Boston","Kelly Olynyk",NA,NA,NA,NA
"Boston","Marcus Smart",NA,NA,NA,NA
"Boston","Terry Rozier",NA,NA,NA,NA
"Boston","Tyler Zeller",NA,NA,NA,NA
"Brooklyn","Anthony Bennett",NA,NA,NA,NA
"Brooklyn","Bojan Bogdanovic",NA,NA,NA,NA
"Brooklyn","Brook Lopez",NA,NA,NA,NA
"Brooklyn","Chris McCullough",NA,NA,NA,NA
"Brooklyn","Greivis Vasquez",NA,NA,NA,NA
"Brooklyn","Isaiah Whitehead",NA,NA,NA,NA
"Brooklyn","Jeremy Lin","Out","Nov 26",2016-11-29,2016-11-27
"Brooklyn","Joe Harris",NA,NA,NA,NA
"Brooklyn","Justin Hamilton",NA,NA,NA,NA
"Brooklyn","Luis Scola",NA,NA,NA,NA
"Brooklyn","Randy Foye",NA,NA,NA,NA
"Brooklyn","Rondae Hollis-Jefferson","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Brooklyn","Sean Kilpatrick",NA,NA,NA,NA
"Brooklyn","Trevor Booker",NA,NA,NA,NA
"Brooklyn","Yogi Ferrell",NA,NA,NA,NA
"Charlotte","Cody Zeller","Out","Nov 25",2016-11-28,2016-11-27
"Charlotte","Frank Kaminsky",NA,NA,NA,NA
"Charlotte","Jeremy Lamb","Out","Nov 23",2016-11-28,2016-11-27
"Charlotte","Kemba Walker",NA,NA,NA,NA
"Charlotte","Marco Belinelli","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Charlotte","Marvin Williams","Out","Nov 26",2016-12-03,2016-11-27
"Charlotte","Michael Kidd-Gilchrist",NA,NA,NA,NA
"Charlotte","Nicolas Batum","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Charlotte","Ramon Sessions",NA,NA,NA,NA
"Charlotte","Roy Hibbert",NA,NA,NA,NA
"Charlotte","Spencer Hawes",NA,NA,NA,NA
"Charlotte","Treveon Graham","Out","Nov 23",2016-11-28,2016-11-27
"Chicago","Bobby Portis",NA,NA,NA,NA
"Chicago","Cristiano Felicio",NA,NA,NA,NA
"Chicago","Denzel Valentine",NA,NA,NA,NA
"Chicago","Doug McDermott","Out","Nov 25",2016-11-30,2016-11-27
"Chicago","Dwyane Wade",NA,NA,NA,NA
"Chicago","Isaiah Canaan",NA,NA,NA,NA
"Chicago","Jerian Grant",NA,NA,NA,NA
"Chicago","Jimmy Butler",NA,NA,NA,NA
"Chicago","Michael Carter-Williams","Out","Nov 25",2017-01-06,2016-11-27
"Chicago","Nikola Mirotic",NA,NA,NA,NA
"Chicago","Paul Zipser","Out","Nov 25",2016-12-15,2016-11-27
"Chicago","Rajon Rondo",NA,NA,NA,NA
"Chicago","Robin Lopez",NA,NA,NA,NA
"Chicago","Taj Gibson",NA,NA,NA,NA
"Cleveland","Channing Frye","Day-To-Day","Nov 27",2016-11-29,2016-11-27
"Cleveland","Chris Andersen",NA,NA,NA,NA
"Cleveland","DeAndre Liggins",NA,NA,NA,NA
"Cleveland","Iman Shumpert","Day-To-Day","Nov 27",2016-11-29,2016-11-27
"Cleveland","Jordan McRae",NA,NA,NA,NA
"Cleveland","JR Smith",NA,NA,NA,NA
"Cleveland","Kay Felder",NA,NA,NA,NA
"Cleveland","Kevin Love",NA,NA,NA,NA
"Cleveland","Kyrie Irving",NA,NA,NA,NA
"Cleveland","LeBron James",NA,NA,NA,NA
"Cleveland","Mike Dunleavy",NA,NA,NA,NA
"Cleveland","Richard Jefferson",NA,NA,NA,NA
"Cleveland","Tristan Thompson",NA,NA,NA,NA
"Dallas","Andrew Bogut","Day-To-Day","Nov 23",2016-11-28,2016-11-27
"Dallas","Deron Williams","Day-To-Day","Nov 27",2016-11-28,2016-11-27
"Dallas","Dirk Nowitzki","Day-To-Day","Nov 27",2016-11-30,2016-11-27
"Dallas","Dorian Finney-Smith",NA,NA,NA,NA
"Dallas","Dwight Powell",NA,NA,NA,NA
"Dallas","Harrison Barnes",NA,NA,NA,NA
"Dallas","Jonathan Gibson",NA,NA,NA,NA
"Dallas","Jose Juan Barea",NA,NA,NA,NA
"Dallas","Justin Anderson",NA,NA,NA,NA
"Dallas","Nicolas Brussino",NA,NA,NA,NA
"Dallas","Quincy Acy",NA,NA,NA,NA
"Dallas","Salah Mejri",NA,NA,NA,NA
"Dallas","Seth Curry",NA,NA,NA,NA
"Dallas","Wesley Matthews",NA,NA,NA,NA
"Denver","Alonzo Gee",NA,NA,NA,NA
"Denver","Danilo Gallinari","Day-To-Day","Nov 27",2016-11-30,2016-11-27
"Denver","Darrell Arthur","Out","Nov 23",2016-11-28,2016-11-27
"Denver","Emmanuel Mudiay",NA,NA,NA,NA
"Denver","Gary Harris","Out","Nov 23",2016-12-10,2016-11-27
"Denver","Jamal Murray",NA,NA,NA,NA
"Denver","Jameer Nelson",NA,NA,NA,NA
"Denver","Juan Hernangomez",NA,NA,NA,NA
"Denver","Jusuf Nurkic",NA,NA,NA,NA
"Denver","Kenneth Faried",NA,NA,NA,NA
"Denver","Malik Beasley",NA,NA,NA,NA
"Denver","Nikola Jokic",NA,NA,NA,NA
"Denver","Will Barton","Day-To-Day","Nov 27",2016-11-30,2016-11-27
"Denver","Wilson Chandler",NA,NA,NA,NA
"Detroit","Andre Drummond",NA,NA,NA,NA
"Detroit","Aron Baynes",NA,NA,NA,NA
