team,FiveThirtyEight,ESPN,DATE
Golden State,1,3,11/13/2016
LA Clippers,2,2,11/13/2016
Cleveland,3,1,11/13/2016
San Antonio,4,4,11/13/2016
Toronto,5,6,11/13/2016
Utah,6,8,11/13/2016
Oklahoma City,7,5,11/13/2016
Portland,8,9,11/13/2016
Houston,9,16,11/13/2016
Charlotte,10,7,11/13/2016
Boston,11,11,11/13/2016
Minnesota,12,25,11/13/2016
Chicago,13,19,11/13/2016
Atlanta,14,10,11/13/2016
Detroit,15,12,11/13/2016
Denver,16,14,11/13/2016
Dallas,17,26,11/13/2016
Washington,18,27,11/13/2016
LA Lakers,19,15,11/13/2016
Sacramento,20,23,11/13/2016
New York,21,24,11/13/2016
Memphis,22,18,11/13/2016
Indiana,23,13,11/13/2016
Milwaukee,24,20,11/13/2016
Orlando,25,21,11/13/2016
Miami,26,17,11/13/2016
New Orleans,27,29,11/13/2016
Phoenix,28,22,11/13/2016
Brooklyn,29,28,11/13/2016
Philadelphia,30,30,11/13/2016
