"","DATE","home_team_name","home_team_prob_win_538"
"1",2020-03-08,"Brooklyn",0.61
"2",2020-03-08,"LA Clippers",0.68
"3",2020-03-08,"Minnesota",0.3
"4",2020-03-08,"Phoenix",0.42
"5",2020-03-08,"Boston",0.69
"6",2020-03-08,"Dallas",0.75
"7",2020-03-08,"Washington",0.51
"8",2020-03-08,"Houston",0.8
"9",2020-03-08,"New York",0.71
"10",2020-03-08,"Cleveland",0.52
"11",2020-03-08,"Sacramento",0.42
"12",2020-03-09,"Atlanta",0.7
"13",2020-03-09,"Denver",0.79
"14",2020-03-09,"Utah",0.66
"15",2020-03-10,"Indiana",0.46
"16",2020-03-10,"Washington",0.8
"17",2020-03-10,"Chicago",0.72
"18",2020-03-10,"San Antonio",0.36
"19",2020-03-10,"Houston",0.93
"20",2020-03-10,"Memphis",0.6
"21",2020-03-10,"LA Lakers",0.92
"22",2020-03-10,"Golden State",0.21
"23",2020-03-11,"Philadelphia",0.86
"24",2020-03-11,"Miami",0.87
"25",2020-03-11,"Atlanta",0.79
"26",2020-03-11,"Dallas",0.55
"27",2020-03-11,"Oklahoma City",0.64
"28",2020-03-11,"Sacramento",0.53
"29",2020-03-12,"Orlando",0.68
"30",2020-03-12,"Milwaukee",0.57
"31",2020-03-12,"Golden State",0.68
"32",2020-03-12,"LA Lakers",0.64
"33",2020-03-13,"Charlotte",0.61
"34",2020-03-13,"Boston",0.83
"35",2020-03-13,"Oklahoma City",0.86
"36",2020-03-13,"Miami",0.87
"37",2020-03-13,"San Antonio",0.36
"38",2020-03-13,"Utah",0.63
"39",2020-03-13,"LA Clippers",0.94
"40",2020-03-14,"Dallas",0.79
"41",2020-03-14,"Atlanta",0.75
"42",2020-03-14,"Toronto",0.91
"43",2020-03-14,"Philadelphia",0.76
"44",2020-03-14,"Miami",0.71
"45",2020-03-14,"Milwaukee",0.88
"46",2020-03-14,"San Antonio",0.74
"47",2020-03-14,"Utah",0.77
"48",2020-03-14,"LA Clippers",0.78
"49",2020-03-07,"Charlotte",0.21
"50",2020-03-07,"Detroit",0.3
"51",2020-03-07,"Cleveland",0.2
"52",2020-03-07,"Memphis",0.7
"53",2020-03-07,"Golden State",0.44
"54",2020-03-06,"Washington",0.77
"55",2020-03-06,"New York",0.24
"56",2020-03-06,"Brooklyn",0.69
"57",2020-03-06,"Chicago",0.52
"58",2020-03-06,"New Orleans",0.67
"59",2020-03-06,"Minnesota",0.5
"60",2020-03-06,"Boston",0.65
"61",2020-03-06,"Dallas",0.76
"62",2020-03-06,"Phoenix",0.63
"63",2020-03-06,"LA Lakers",0.61
"64",2020-03-05,"Charlotte",0.21
"65",2020-03-05,"Houston",0.6
"66",2020-03-05,"Sacramento",0.7
"67",2020-03-05,"Golden State",0.2
"68",2020-03-04,"Cleveland",0.45
"69",2020-03-04,"Milwaukee",0.81
"70",2020-03-04,"Detroit",0.26
"71",2020-03-04,"Brooklyn",0.54
"72",2020-03-04,"Miami",0.74
"73",2020-03-04,"New York",0.25
"74",2020-03-04,"Minnesota",0.51
"75",2020-03-04,"Dallas",0.7
"76",2020-03-03,"Charlotte",0.63
"77",2020-03-03,"Boston",0.8
"78",2020-03-03,"Oklahoma City",0.39
"79",2020-03-03,"New Orleans",0.89
"80",2020-03-03,"Denver",0.95
"81",2020-03-03,"Phoenix",0.47
"82",2020-03-03,"LA Lakers",0.84
"83",2020-03-03,"Sacramento",0.71
"84",2020-03-02,"New York",0.13
"85",2020-03-02,"Orlando",0.83
"86",2020-03-02,"Cleveland",0.19
"87",2020-03-02,"Atlanta",0.59
"88",2020-03-02,"Miami",0.53
"89",2020-03-02,"Chicago",0.42
"90",2020-03-02,"San Antonio",0.43
"91",2020-03-01,"Charlotte",0.21
"92",2020-03-01,"Minnesota",0.33
"93",2020-03-01,"LA Clippers",0.87
"94",2020-03-01,"Sacramento",0.87
"95",2020-03-01,"Denver",0.74
"96",2020-03-01,"New Orleans",0.63
"97",2020-03-01,"Golden State",0.3
