"PLAYER_FULL_NAME","injury_status","injury_date","return_date","injury_scrape_date"
"Al Horford","Day-To-Day","Nov 28",2016-12-02,2016-12-01
"Andrew Bogut","Day-To-Day","Dec 1",2016-12-03,2016-12-01
"Ben Simmons","Out","Dec 1",2017-01-09,2016-12-01
"Blake Griffin","Day-To-Day","Nov 29",2016-12-02,2016-12-01
"Brandon Rush","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"C.J. Miles","Out","Nov 30",2016-12-02,2016-12-01
"C.J. Watson","Day-To-Day","Nov 27",2016-12-02,2016-12-01
"Caris LeVert","Out","Nov 28",2016-12-05,2016-12-01
"Channing Frye","Out","Nov 30",2016-12-02,2016-12-01
"Courtney Lee","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Danilo Gallinari","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Darrell Arthur","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"DeMarcus Cousins","Day-To-Day","Nov 28",2016-12-02,2016-12-01
"Deron Williams","Day-To-Day","Nov 27",2016-12-02,2016-12-01
"Devin Harris","Out","Nov 30",2016-12-02,2016-12-01
"Dewayne Dedmon","Out","Nov 29",2016-12-02,2016-12-01
"Dion Waiters","Out","Nov 30",2016-12-14,2016-12-01
"Dirk Nowitzki","Out","Nov 30",2016-12-03,2016-12-01
"Doug McDermott","Out","Nov 30",2016-12-02,2016-12-01
"Draymond Green","Day-To-Day","Nov 28",2016-12-02,2016-12-01
"Dwyane Wade","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Elfrid Payton","Day-To-Day","Nov 29",2016-12-02,2016-12-01
"Gary Harris","Out","Nov 29",2016-12-10,2016-12-01
"Goran Dragic","Day-To-Day","Nov 27",2016-12-02,2016-12-01
"Hassan Whiteside","Day-To-Day","Nov 28",2016-12-02,2016-12-01
"Henry Ellenson","Day-To-Day","Nov 29",2016-12-02,2016-12-01
"Ian Clark","Day-To-Day","Nov 28",2016-12-02,2016-12-01
"Ian Mahinmi","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Iman Shumpert","Day-To-Day","Nov 29",2016-12-02,2016-12-01
"Jared Dudley","Day-To-Day","Nov 27",2016-12-02,2016-12-01
"Jeff Green","Day-To-Day","Nov 28",2016-12-02,2016-12-01
"Jeremy Lamb","Day-To-Day","Nov 29",2016-12-02,2016-12-01
"Jeremy Lin","Out","Nov 30",2016-12-05,2016-12-01
"Jerryd Bayless","Out","Nov 30",2016-12-02,2016-12-01
"Joakim Noah","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Jodie Meeks","Out","Nov 28",2016-12-02,2016-12-01
"Joel Embiid","Day-To-Day","Nov 28",2016-12-02,2016-12-01
"Josh Richardson","Day-To-Day","Nov 30",2016-12-06,2016-12-01
"Juancho Hernangomez","Day-To-Day","Nov 29",2016-12-02,2016-12-01
"Julius Randle","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Justise Winslow","Out","Nov 29",2016-12-06,2016-12-01
"Lance Thomas","Out","Nov 30",2016-12-02,2016-12-01
"Manu Ginobili","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Marco Belinelli","Day-To-Day","Nov 27",2016-12-02,2016-12-01
"Markieff Morris","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Mike Conley","Out","Nov 29",2017-01-14,2016-12-01
"Mike Dunleavy","Day-To-Day","Dec 1",2016-12-02,2016-12-01
"Mike Miller","Out","Nov 29",2016-12-02,2016-12-01
"Mike Scott","Out","Nov 30",2016-12-02,2016-12-01
"Nene Hilario","Day-To-Day","Dec 1",2016-12-02,2016-12-01
"Nerlens Noel","Out","Nov 30",2016-12-10,2016-12-01
"Nick Young","Out","Nov 30",2016-12-14,2016-12-01
"Nicolas Batum","Day-To-Day","Nov 27",2016-12-02,2016-12-01
"Nikola Jokic","Day-To-Day","Dec 1",2016-12-02,2016-12-01
"Pau Gasol","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Paul Millsap","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Quincy Pondexter","Out","Dec 1",2016-12-31,2016-12-01
"Reggie Bullock","Out","Nov 30",2017-01-31,2016-12-01
"Reggie Jackson","Out","Nov 29",2016-12-04,2016-12-01
"Rondae Hollis-Jefferson","Day-To-Day","Nov 28",2016-12-02,2016-12-01
"Seth Curry","Day-To-Day","Nov 30",2016-12-03,2016-12-01
"Tiago Splitter","Out","Nov 27",2017-01-14,2016-12-01
"Tony Parker","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Tyler Johnson","Day-To-Day","Nov 29",2016-12-02,2016-12-01
"Tyreke Evans","Out","Dec 1",2016-12-20,2016-12-01
"Vince Carter","Day-To-Day","Nov 30",2016-12-03,2016-12-01
"Wayne Ellington","Out","Nov 28",2016-12-02,2016-12-01
"Will Barton","Day-To-Day","Nov 30",2016-12-02,2016-12-01
"Willie Reed","Out","Nov 28",2016-12-02,2016-12-01
"Zach Randolph","Out","Nov 30",2016-12-03,2016-12-01
