"PLAYER_FULL_NAME","injury_status","injury_date","return_notes","clean_note","injury_scrape_date","return_date"
"Aaron Gordon","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Al Horford","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Alex Poythress","Out","Nov 29",NA,NA,2018-12-03,NA
"Alfonzo McKinnie","Out","Dec 2",NA,NA,2018-12-03,NA
"Andre Roberson","Out","Nov 30",NA,NA,2018-12-03,NA
"Ante Zizic","Day-To-Day","Dec 1",NA,NA,2018-12-03,NA
"Brandon Knight","Out","Nov 30",NA,NA,2018-12-03,NA
"Caleb Swanigan","Day-To-Day","Dec 2",NA,NA,2018-12-03,NA
"Cedi Osman","Day-To-Day","Dec 1",NA,NA,2018-12-03,NA
"Chasson Randle","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Chris Paul","Out","Nov 30",NA,NA,2018-12-03,NA
"Cody Zeller","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Courtney Lee","Out","Nov 30",NA,NA,2018-12-03,NA
"Damian Jones","Out","Dec 3",NA,NA,2018-12-03,NA
"David Nwaba","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"DeMarcus Cousins","Out","Dec 2",NA,NA,2018-12-03,NA
"Dennis Smith Jr.","Day-To-Day","Dec 3",NA,NA,2018-12-03,NA
"Derrick Jones Jr.","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Devin Booker","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Dewayne Dedmon","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Dirk Nowitzki","Out","Dec 3",NA,NA,2018-12-03,NA
"Domantas Sabonis","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Draymond Green","Out","Nov 29",NA,NA,2018-12-03,NA
"Dwight Howard","Out","Nov 30",NA,NA,2018-12-03,NA
"E'Twaun Moore","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Ersan Ilyasova","Day-To-Day","Dec 1",NA,NA,2018-12-03,NA
"Evan Turner","Day-To-Day","Dec 2",NA,NA,2018-12-03,NA
"Frank Jackson","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Gary Harris","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"George Hill","Out","Nov 30",NA,NA,2018-12-03,NA
"Gerald Green","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Goran Dragic","Out","Nov 29",NA,NA,2018-12-03,NA
"Hamidou Diallo","Out","Nov 30",NA,NA,2018-12-03,NA
"Jaylen Brown","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Jeff Green","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Jeremy Lin","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Jerome Robinson","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Joakim Noah","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Joe Harris","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Jonathon Simmons","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Justise Winslow","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Kosta Koufos","Out","Nov 29",NA,NA,2018-12-03,NA
"Kyle Lowry","Day-To-Day","Dec 1",NA,NA,2018-12-03,NA
"Lauri Markkanen","Out","Dec 1",NA,NA,2018-12-03,NA
"Lonzo Ball","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Luc Mbah a Moute","Out","Nov 29",NA,NA,2018-12-03,NA
"Luka Doncic","Day-To-Day","Dec 3",NA,NA,2018-12-03,NA
"Luke Kennard","Out","Nov 30",NA,NA,2018-12-03,NA
"Malik Monk","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Marc Gasol","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Marcin Gortat","Day-To-Day","Nov 29",NA,NA,2018-12-03,NA
"Marco Belinelli","Day-To-Day","Dec 3",NA,NA,2018-12-03,NA
"Markelle Fultz","Out","Nov 30",NA,NA,2018-12-03,NA
"Marvin Bagley III","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Marvin Williams","Out","Dec 3",NA,NA,2018-12-03,NA
"Mitchell Robinson","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Nene Hilario","Out","Nov 30",NA,NA,2018-12-03,NA
"Norman Powell","Out","Dec 3",NA,NA,2018-12-03,NA
"Otto Porter Jr.","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Rodney McGruder","Day-To-Day","Dec 3",NA,NA,2018-12-03,NA
"Ron Baker","Day-To-Day","Dec 1",NA,NA,2018-12-03,NA
"Sam Dekker","Out","Nov 30",NA,NA,2018-12-03,NA
"Stephen Curry","Out","Dec 1",NA,NA,2018-12-03,NA
"T.J. Warren","Day-To-Day","Nov 30",NA,NA,2018-12-03,NA
"Terrance Ferguson","Out","Dec 3",NA,NA,2018-12-03,NA
"Timofey Mozgov","Out","Dec 3",NA,NA,2018-12-03,NA
"Trey Burke","Day-To-Day","Dec 2",NA,NA,2018-12-03,NA
"Tyler Dorsey","Out","Nov 30",NA,NA,2018-12-03,NA
"Tyler Johnson","Out","Nov 29",NA,NA,2018-12-03,NA
"Victor Oladipo","Out","Nov 30",NA,NA,2018-12-03,NA
"Wayne Selden","Day-To-Day","Dec 2",NA,NA,2018-12-03,NA
"Wilson Chandler","Day-To-Day","Dec 2",NA,NA,2018-12-03,NA
