"PLAYER_FULL_NAME","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Alec Burks","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Alex Caruso","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"Alex Len","Out","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Allen Crabbe","Out","Feb 5",NA,2020-02-07,2020-02-06
"Allonzo Trier","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Andre Iguodala","Day-To-Day","Feb 5","Feb 10",2020-02-10,2020-02-06
"Ante Zizic","Out","Feb 3","Feb 12",2020-02-12,2020-02-06
"Anthony Davis","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Aron Baynes","Out","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Austin Rivers","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"Bol Bol","Out","Feb 4",NA,2020-02-07,2020-02-06
"Brandon Knight","Out","Feb 3",NA,2020-02-07,2020-02-06
"Bruno Fernando","Out","Feb 5","Feb 7",2020-02-07,2020-02-06
"Cam Reddish","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Cameron Johnson","Out","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Chandler Hutchison","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Clint Capela","Out","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"D.J. Augustin","Out","Feb 5","Feb 21",2020-02-21,2020-02-06
"D'Angelo Russell","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"Damyean Dotson","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Daniel Gafford","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Daniel Theis","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Dario Saric","Out","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Davis Bertans","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"De'Andre Hunter","Day-To-Day","Feb 5",NA,2020-02-07,2020-02-06
"DeAndre' Bembry","Out","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Denzel Valentine","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Derrick Rose","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Devontae Cacok","Out","Feb 2",NA,2020-02-07,2020-02-06
"Dewan Hernandez","Out","Feb 4","Feb 12",2020-02-12,2020-02-06
"Dewayne Dedmon","Day-To-Day","Feb 5",NA,2020-02-07,2020-02-06
"Dion Waiters","Day-To-Day","Feb 5",NA,2020-02-07,2020-02-06
"Enes Kanter","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"Evan Fournier","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"Evan Turner","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Frank Ntilikina","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"George Hill","Out","Feb 5",NA,2020-02-07,2020-02-06
"Gerald Green","Out","Feb 4",NA,2020-02-07,2020-02-06
"Glenn Robinson III","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Gordon Hayward","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"Grayson Allen","Out","Feb 3","Feb 9",2020-02-09,2020-02-06
"J.J. Barea","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Jabari Parker","Out","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Jae Crowder","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Jake Layman","Out","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Jamal Murray","Out","Feb 5",NA,2020-02-07,2020-02-06
"James Johnson","Day-To-Day","Feb 5",NA,2020-02-07,2020-02-06
"Jarred Vanderbilt","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Jaylen Brown","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Jerami Grant","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Jimmy Butler","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Jonas Valanciunas","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"Jordan Bell","Day-To-Day","Feb 5",NA,2020-02-07,2020-02-06
"Jordan McRae","Out","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Josh Richardson","Out","Feb 5","Feb 7",2020-02-07,2020-02-06
"Juan Hernangomez","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"Julius Randle","Day-To-Day","Feb 3",NA,2020-02-07,2020-02-06
"Justise Winslow","Out","Feb 5","Feb 20",2020-02-20,2020-02-06
"Keita Bates-Diop","Day-To-Day","Feb 4","Game Time Decision",2020-02-07,2020-02-06
"Kemba Walker","Out","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Kenny Wooten","Out","Feb 2",NA,2020-02-07,2020-02-06
"Kenrich Williams","Out","Feb 5","Feb 8",2020-02-08,2020-02-06
"Kevin Huerter","Day-To-Day","Feb 4",NA,2020-02-07,2020-02-06
"Khem Birch","Day-To-Day","Feb 5",NA,2020-02-07,2020-02-06
"Khyri Thomas","Out","Feb 3","Game Time Decision",2020-02-07,2020-02-06
"Kris Dunn","Out","Feb 4","Feb 22",2020-02-22,2020-02-06
"Kristaps Porzingis","Day-To-Day","Feb 5","Game Time Decision",2020-02-07,2020-02-06
"Kyle Alexander","Out","Feb 5","Feb 10",2020-02-10,2020-02-06
"Kyrie Irving","Out","Feb 2","Feb 10",2020-02-10,2020-02-06
"Malcolm Miller","Out","Feb 4",NA,2020-02-07,2020-02-06
