"OWN_TEAM","PLAYER_FULL_NAME"
"Atlanta","Dennis Schroder"
"Atlanta","Dwight Howard"
"Atlanta","Kent Bazemore"
"Atlanta","Kris Humphries"
"Atlanta","Kyle Korver"
"Atlanta","Malcolm Delaney"
"Atlanta","Mike Muscala"
"Atlanta","Paul Millsap"
"Atlanta","Taurean Prince"
"Atlanta","Thabo Sefolosha"
"Atlanta","Tim Hardaway Jr."
"Boston","Al Horford"
"Boston","Amir Johnson"
"Boston","Avery Bradley"
"Boston","Demetrius Jackson"
"Boston","Gerald Green"
"Boston","Isaiah Thomas"
"Boston","Jae Crowder"
"Boston","James Young"
"Boston","Jaylen Brown"
"Boston","Jonas Jerebko"
"Boston","Jordan Mickey"
"Boston","Kelly Olynyk"
"Boston","Marcus Smart"
"Boston","Terry Rozier"
"Boston","Tyler Zeller"
"Brooklyn","Anthony Bennett"
"Brooklyn","Bojan Bogdanovic"
"Brooklyn","Brook Lopez"
"Brooklyn","Chris McCullough"
"Brooklyn","Greivis Vasquez"
"Brooklyn","Isaiah Whitehead"
"Brooklyn","Jeremy Lin"
"Brooklyn","Joe Harris"
"Brooklyn","Justin Hamilton"
"Brooklyn","Luis Scola"
"Brooklyn","Randy Foye"
"Brooklyn","Rondae Hollis-Jefferson"
"Brooklyn","Sean Kilpatrick"
"Brooklyn","Trevor Booker"
"Brooklyn","Yogi Ferrell"
"Charlotte","Cody Zeller"
"Charlotte","Frank Kaminsky"
"Charlotte","Jeremy Lamb"
"Charlotte","Kemba Walker"
"Charlotte","Marco Belinelli"
"Charlotte","Marvin Williams"
"Charlotte","Michael Kidd-Gilchrist"
"Charlotte","Nicolas Batum"
"Charlotte","Ramon Sessions"
"Charlotte","Roy Hibbert"
"Charlotte","Spencer Hawes"
"Charlotte","Treveon Graham"
"Chicago","Bobby Portis"
"Chicago","Cristiano Felicio"
"Chicago","Denzel Valentine"
"Chicago","Doug McDermott"
"Chicago","Dwyane Wade"
"Chicago","Isaiah Canaan"
"Chicago","Jerian Grant"
"Chicago","Jimmy Butler"
"Chicago","Michael Carter-Williams"
"Chicago","Nikola Mirotic"
"Chicago","Paul Zipser"
"Chicago","Rajon Rondo"
"Chicago","Robin Lopez"
"Chicago","Taj Gibson"
"Cleveland","Channing Frye"
"Cleveland","Chris Andersen"
"Cleveland","DeAndre Liggins"
"Cleveland","Iman Shumpert"
"Cleveland","Jordan McRae"
"Cleveland","JR Smith"
"Cleveland","Kay Felder"
"Cleveland","Kevin Love"
"Cleveland","Kyrie Irving"
