"OWN_TEAM","PLAYER_FULL_NAME","injury_status","injury_date"
"Atlanta","DeAndre Bembry",NA,NA
"Atlanta","Dennis Schroder",NA,NA
"Atlanta","Dwight Howard",NA,NA
"Atlanta","Kent Bazemore",NA,NA
"Atlanta","Kris Humphries",NA,NA
"Atlanta","Kyle Korver","Day-To-Day","Nov 23"
"Atlanta","Malcolm Delaney",NA,NA
"Atlanta","Mike Muscala",NA,NA
"Atlanta","Paul Millsap",NA,NA
"Atlanta","Ryan Kelly",NA,NA
"Atlanta","Taurean Prince",NA,NA
"Atlanta","Thabo Sefolosha","Day-To-Day","Nov 21"
"Atlanta","Tim Hardaway Jr.",NA,NA
"Boston","Al Horford","Out","Nov 19"
"Boston","Amir Johnson",NA,NA
"Boston","Avery Bradley",NA,NA
"Boston","Demetrius Jackson",NA,NA
"Boston","Gerald Green",NA,NA
"Boston","Isaiah Thomas",NA,NA
"Boston","Jae Crowder","Day-To-Day","Nov 23"
"Boston","James Young",NA,NA
"Boston","Jaylen Brown",NA,NA
"Boston","Jonas Jerebko",NA,NA
"Boston","Jordan Mickey",NA,NA
"Boston","Kelly Olynyk",NA,NA
"Boston","Marcus Smart",NA,NA
"Boston","Terry Rozier",NA,NA
"Boston","Tyler Zeller",NA,NA
"Brooklyn","Anthony Bennett",NA,NA
"Brooklyn","Bojan Bogdanovic",NA,NA
"Brooklyn","Brook Lopez",NA,NA
"Brooklyn","Chris McCullough",NA,NA
"Brooklyn","Greivis Vasquez",NA,NA
"Brooklyn","Isaiah Whitehead",NA,NA
"Brooklyn","Jeremy Lin","Out","Nov 23"
"Brooklyn","Joe Harris",NA,NA
"Brooklyn","Justin Hamilton",NA,NA
"Brooklyn","Luis Scola",NA,NA
"Brooklyn","Randy Foye",NA,NA
"Brooklyn","Rondae Hollis-Jefferson","Day-To-Day","Nov 23"
"Brooklyn","Sean Kilpatrick",NA,NA
"Brooklyn","Trevor Booker",NA,NA
"Brooklyn","Yogi Ferrell",NA,NA
"Charlotte","Cody Zeller","Day-To-Day","Nov 23"
"Charlotte","Frank Kaminsky",NA,NA
"Charlotte","Jeremy Lamb","Out","Nov 23"
"Charlotte","Kemba Walker",NA,NA
"Charlotte","Marco Belinelli",NA,NA
"Charlotte","Marvin Williams",NA,NA
"Charlotte","Michael Kidd-Gilchrist",NA,NA
"Charlotte","Nicolas Batum",NA,NA
"Charlotte","Ramon Sessions",NA,NA
"Charlotte","Roy Hibbert",NA,NA
"Charlotte","Spencer Hawes",NA,NA
"Charlotte","Treveon Graham","Out","Nov 23"
"Chicago","Bobby Portis",NA,NA
"Chicago","Cristiano Felicio",NA,NA
"Chicago","Denzel Valentine",NA,NA
"Chicago","Doug McDermott","Out","Nov 22"
"Chicago","Dwyane Wade","Day-To-Day","Nov 20"
"Chicago","Isaiah Canaan",NA,NA
"Chicago","Jerian Grant",NA,NA
"Chicago","Jimmy Butler",NA,NA
"Chicago","Michael Carter-Williams",NA,NA
"Chicago","Nikola Mirotic",NA,NA
"Chicago","Paul Zipser","Day-To-Day","Nov 22"
"Chicago","Rajon Rondo","Day-To-Day","Nov 20"
"Chicago","Robin Lopez",NA,NA
"Chicago","Taj Gibson",NA,NA
"Cleveland","Channing Frye",NA,NA
"Cleveland","Chris Andersen",NA,NA
"Cleveland","DeAndre Liggins",NA,NA
"Cleveland","Iman Shumpert",NA,NA
"Cleveland","Jordan McRae",NA,NA
"Cleveland","JR Smith",NA,NA
"Cleveland","Kay Felder",NA,NA
"Cleveland","Kevin Love",NA,NA
"Cleveland","Kyrie Irving",NA,NA
"Cleveland","LeBron James",NA,NA
"Cleveland","Mike Dunleavy",NA,NA
"Cleveland","Richard Jefferson",NA,NA
"Cleveland","Tristan Thompson",NA,NA
"Dallas","Andrew Bogut","Day-To-Day","Nov 23"
"Dallas","Deron Williams","Day-To-Day","Nov 23"
"Dallas","Dirk Nowitzki","Out","Nov 23"
"Dallas","Dorian Finney-Smith",NA,NA
"Dallas","Dwight Powell",NA,NA
"Dallas","Harrison Barnes",NA,NA
"Dallas","Jonathan Gibson",NA,NA
"Dallas","Jose Juan Barea",NA,NA
"Dallas","Justin Anderson",NA,NA
"Dallas","Nicolas Brussino",NA,NA
"Dallas","Quincy Acy",NA,NA
"Dallas","Salah Mejri",NA,NA
"Dallas","Seth Curry",NA,NA
"Dallas","Wesley Matthews",NA,NA
"Denver","Danilo Gallinari","Day-To-Day","Nov 23"
"Denver","Darrell Arthur","Out","Nov 23"
"Denver","Emmanuel Mudiay",NA,NA
"Denver","Gary Harris","Out","Nov 23"
"Denver","Jamal Murray",NA,NA
"Denver","Jameer Nelson",NA,NA
"Denver","Juan Hernangomez",NA,NA
"Denver","Jusuf Nurkic",NA,NA
"Denver","Kenneth Faried",NA,NA
"Denver","Malik Beasley",NA,NA
