"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","return_date","injury_scrape_date"
"A.J. Hammons","Dallas","C",24,"7-0",260,650000,"Dallas Mavericks",NA,NA,NA,NA
"Aaron Brooks","Indiana","PG",31,"6-0",161,2700000,"Indiana Pacers",NA,NA,NA,NA
"Aaron Gordon","Orlando","PF",21,"6-9",220,4351320,"Orlando Magic",NA,NA,NA,NA
"Aaron Harrison","Charlotte","SG",22,"6-6",210,874636,"Charlotte Hornets",NA,NA,NA,NA
"Adreian Payne","Minnesota","PF",25,"6-10",237,2022240,"Minnesota Timberwolves",NA,NA,NA,NA
"Al Horford","Boston","C",30,"6-10",245,26540100,"Boston Celtics",NA,NA,NA,NA
"Al Jefferson","Indiana","C",31,"6-10",289,10314532,"Indiana Pacers",NA,NA,NA,NA
"Al-Farouq Aminu","Portland","SF",26,"6-9",220,7680965,"Portland Trailblazers","Out","Dec 21",2016-12-23,2016-12-22
"Alan Anderson","LA Clippers","SG",34,"6-6",220,980431,"Los Angeles Clippers",NA,NA,NA,NA
"Alan Williams","Phoenix","PF",23,"6-8",260,874636,"Phoenix Suns",NA,NA,NA,NA
"Alec Burks","Utah","SG",25,"6-6",214,10154495,"Utah Jazz",NA,NA,NA,NA
"Alex Abrines","Oklahoma City","SG",23,"6-6",190,5994764,"Oklahoma City Thunder",NA,NA,NA,NA
"Alex Len","Phoenix","C",23,"7-1",260,4823621,"Phoenix Suns",NA,NA,NA,NA
"Alexis Ajinca","New Orleans","C",28,"7-2",248,4638203,"New Orleans Pelicans",NA,NA,NA,NA
"Allen Crabbe","Portland","SG",24,"6-6",215,18500000,"Portland Trailblazers",NA,NA,NA,NA
"Alonzo Gee","Denver","SF",29,"6-6",225,853552,"Denver Nuggets",NA,NA,NA,NA
"Amir Johnson","Boston","PF",29,"6-9",240,1.2e+07,"Boston Celtics",NA,NA,NA,NA
"Anderson Varejao","Golden State","C",34,"6-11",273,980431,"Golden State Warriors",NA,NA,NA,NA
"Andre Drummond","Detroit","C",23,"6-11",279,22116750,"Detroit Pistons",NA,NA,NA,NA
"Andre Iguodala","Golden State","SF",32,"6-6",215,11131368,"Golden State Warriors",NA,NA,NA,NA
"Andre Roberson","Oklahoma City","SF",25,"6-7",210,2183072,"Oklahoma City Thunder",NA,NA,NA,NA
"Andrew Bogut","Dallas","C",32,"7-0",260,11027027,"Dallas Mavericks","Out","Dec 20",2016-12-28,2016-12-22
"Andrew Harrison","Memphis","PG",22,"6-6",213,945000,"Memphis Grizzlies",NA,NA,NA,NA
"Andrew Nicholson","Washington","PF",27,"6-9",250,6088993,"Washington Wizards",NA,NA,NA,NA
"Andrew Wiggins","Minnesota","SF",21,"6-8",199,6006600,"Minnesota Timberwolves",NA,NA,NA,NA
"Anthony Bennett","Brooklyn","PF",23,"6-8",235,1015696,"Brooklyn Nets",NA,NA,NA,NA
"Anthony Davis","New Orleans","PF",23,"6-11",253,22116750,"New Orleans Pelicans","Day-To-Day","Dec 18",2016-12-23,2016-12-22
"Anthony Morrow","Oklahoma City","SG",31,"6-5",210,3488000,"Oklahoma City Thunder",NA,NA,NA,NA
"Anthony Tolliver","Sacramento","PF",31,"6-8",240,8e+06,"Sacramento Kings",NA,NA,NA,NA
"Arinze Onuaku","Orlando","PF",29,"6-9",255,980431,"Orlando Magic",NA,NA,NA,NA
