"Team","PLAYER_FULL_NAME","Age","Weight","Salary"
"Boston Celtics ","Aron Baynes",32,260,5193600
"Boston Celtics ","Jabari Bird",24,198,1349464
"Boston Celtics ","Jaylen Brown",22,220,5169960
"Boston Celtics ","PJ Dozier",22,205,NA
"Boston Celtics ","Gordon Hayward",28,225,31214295
"Boston Celtics ","Al Horford",32,245,28928709
"Boston Celtics ","Kyrie Irving",26,193,20099189
"Boston Celtics ","Marcus Morris",29,235,5375000
"Boston Celtics ","Semi Ojeleye",24,241,1378242
"Boston Celtics ","Terry Rozier",24,190,3050390
"Boston Celtics ","Marcus Smart",24,220,11660716
"Boston Celtics ","Jayson Tatum",20,208,6700800
"Boston Celtics ","Daniel Theis",26,243,1378242
"Boston Celtics ","Brad Wanamaker",29,210,838464
"Boston Celtics ","Robert Williams",21,240,1654440
"Boston Celtics ","Guerschon Yabusele",22,260,2667600
"Brooklyn Nets ","Jarrett Allen",20,237,2034120
"Brooklyn Nets ","DeMarre Carroll",32,215,15400000
"Brooklyn Nets ","Allen Crabbe",26,212,18500000
"Brooklyn Nets ","Ed Davis",29,225,4449000
"Brooklyn Nets ","Spencer Dinwiddie",25,210,1656092
"Brooklyn Nets ","Jared Dudley",33,237,9530000
"Brooklyn Nets ","Kenneth Faried",29,220,13764045
"Brooklyn Nets ","Treveon Graham",25,225,1512601
"Brooklyn Nets ","Joe Harris",27,218,8e+06
"Brooklyn Nets ","Rondae Hollis-Jefferson",23,217,2470357
"Brooklyn Nets ","Rodions Kurucs",20,210,1618320
"Brooklyn Nets ","Caris LeVert",24,204,1702800
"Brooklyn Nets ","Dzanan Musa",19,208,1632240
"Brooklyn Nets ","Shabazz Napier",27,180,1942422
"Brooklyn Nets ","Theo Pinson",23,218,NA
"Brooklyn Nets ","D'Angelo Russell",22,198,7019698
"Brooklyn Nets ","Alan Williams",25,265,5e+06
"New York Knicks ","Ron Baker",25,220,4544000
"New York Knicks ","Trey Burke",26,175,1795015
"New York Knicks ","Damyean Dotson",24,210,1378242
"New York Knicks ","Tim Hardaway Jr.",26,205,17325000
"New York Knicks ","Mario Hezonja",23,225,6500000
"New York Knicks ","Isaiah Hicks",24,230,NA
"New York Knicks ","Enes Kanter",26,250,18622514
"New York Knicks ","Kevin Knox",19,215,3739920
"New York Knicks ","Luke Kornet",23,250,1619260
"New York Knicks ","Courtney Lee",33,215,12253780
"New York Knicks ","Emmanuel Mudiay",22,200,4294480
"New York Knicks ","Frank Ntilikina",20,200,4155720
"New York Knicks ","Kristaps Porzingis",23,240,5697054
"New York Knicks ","Mitchell Robinson",20,240,1485440
"New York Knicks ","Lance Thomas",30,240,7119650
"New York Knicks ","Allonzo Trier",22,200,NA
"New York Knicks ","Noah Vonleh",23,250,1512601
"Philadelphia 76ers ","Jonah Bolden",22,220,1690000
"Philadelphia 76ers ","Jimmy Butler",29,232,20445779
"Philadelphia 76ers ","Wilson Chandler",31,225,12800562
"Philadelphia 76ers ","Joel Embiid",24,250,25467250
"Philadelphia 76ers ","Markelle Fultz",20,200,8339880
"Philadelphia 76ers ","Demetrius Jackson",24,201,NA
"Philadelphia 76ers ","Amir Johnson",31,240,1512601
"Philadelphia 76ers ","Furkan Korkmaz",21,190,1740000
"Philadelphia 76ers ","T.J. McConnell",26,190,1600520
"Philadelphia 76ers ","Shake Milton",22,207,NA
"Philadelphia 76ers ","Mike Muscala",27,240,5e+06
"Philadelphia 76ers ","Justin Patton",21,241,2667600
"Philadelphia 76ers ","JJ Redick",34,200,12250000
"Philadelphia 76ers ","Landry Shamet",21,188,1703649
"Philadelphia 76ers ","Ben Simmons",22,230,6434520
"Philadelphia 76ers ","Zhaire Smith",19,199,2526840
"Toronto Raptors ","OG Anunoby",21,232,2034120
"Toronto Raptors ","Chris Boucher",25,200,NA
"Toronto Raptors ","Lorenzo Brown",28,189,1512601
"Toronto Raptors ","Danny Green",31,215,1e+07
"Toronto Raptors ","Serge Ibaka",29,235,21666667
"Toronto Raptors ","Kawhi Leonard",27,230,23114067
"Toronto Raptors ","Kyle Lowry",32,196,31200000
"Toronto Raptors ","Jordan Loyd",25,210,NA
"Toronto Raptors ","CJ Miles",31,220,8333333
"Toronto Raptors ","Greg Monroe",28,265,1512601
"Toronto Raptors ","Norman Powell",25,215,9367200
"Toronto Raptors ","Malachi Richardson",22,205,1569360
"Toronto Raptors ","Pascal Siakam",24,230,1544951
"Toronto Raptors ","Jonas Valanciunas",26,265,16539326
"Toronto Raptors ","Fred VanVleet",24,195,8653847
"Toronto Raptors ","Delon Wright",26,183,2536898
"Chicago Bulls ","Rawle Alkins",21,225,NA
"Chicago Bulls ","Ryan Arcidiacono",24,200,1349383
"Chicago Bulls ","Antonio Blakeney",22,192,1349383
"Chicago Bulls ","Wendell Carter Jr.",19,255,4441200
"Chicago Bulls ","Kris Dunn",24,205,4221000
"Chicago Bulls ","Cristiano Felicio",26,265,8740980
"Chicago Bulls ","Shaquille Harrison",25,190,1311265
"Chicago Bulls ","Justin Holiday",29,181,4384616
"Chicago Bulls ","Chandler Hutchison",22,197,1990520
"Chicago Bulls ","Zach LaVine",23,200,19500000
"Chicago Bulls ","Robin Lopez",30,275,14357750
"Chicago Bulls ","Lauri Markkanen",21,240,4536120
"Chicago Bulls ","Jabari Parker",23,245,2e+07
"Chicago Bulls ","Cameron Payne",24,190,3263294
"Chicago Bulls ","Bobby Portis",23,250,2494346
"Chicago Bulls ","Tyler Ulis",22,160,NA
"Chicago Bulls ","Denzel Valentine",25,210,2280600
"Cleveland Cavaliers ","Jaron Blossomgame",25,220,NA
"Cleveland Cavaliers ","Alec Burks",27,214,11536515
"Cleveland Cavaliers ","Jordan Clarkson",26,194,12500000
"Cleveland Cavaliers ","Matthew Dellavedova",28,200,9607500
"Cleveland Cavaliers ","Channing Frye",35,255,1512601
"Cleveland Cavaliers ","John Henson",27,219,11327466
"Cleveland Cavaliers ","Rodney Hood",26,206,3472887
"Cleveland Cavaliers ","Jalen Jones",25,220,NA
"Cleveland Cavaliers ","Kevin Love",30,251,24119025
"Cleveland Cavaliers ","Larry Nance Jr.",25,230,2272391
"Cleveland Cavaliers ","David Nwaba",25,219,1512601
"Cleveland Cavaliers ","Cedi Osman",23,215,2775000
"Cleveland Cavaliers ","Collin Sexton",19,190,4068600
"Cleveland Cavaliers ","JR Smith",33,225,14720000
