"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Aaron Gordon","Orlando","PF",24,"6' 8""",235,19863636,"Orlando Magic",NA,NA,NA,NA,NA
"Aaron Holiday","Indiana","PG",23,"6' 0""",185,2329200,"Indiana Pacers",NA,NA,NA,NA,NA
"Abdel Nader","Oklahoma City","SF",26,"6' 5""",225,1618520,"Oklahoma City Thunder",NA,NA,NA,NA,NA
"Adam Mokoka","Chicago","SG",21,"6' 5""",190,NA,"Chicago Bulls",NA,NA,NA,NA,NA
"Admiral Schofield","Washington","SG",22,"6' 5""",241,1e+06,"Washington Wizards",NA,NA,NA,NA,NA
"Al Horford","Philadelphia","C",33,"6' 9""",240,2.8e+07,"Philadelphia 76ers",NA,NA,NA,NA,NA
"Al-Farouq Aminu","Orlando","PF",29,"6' 8""",220,9258000,"Orlando Magic","Out",NA,"Feb 1",2020-02-01,2019-12-22
"Alec Burks","Golden State","SG",28,"6' 6""",214,1620564,"Golden State Warriors",NA,NA,NA,NA,NA
"Alen Smailagic","Golden State","PF",19,"6' 10""",215,898310,"Golden State Warriors",NA,NA,NA,NA,NA
"Alex Caruso","LA Lakers","SG",25,"6' 5""",186,2750000,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Alex Len","Atlanta","C",26,"7' 0""",250,4160000,"Atlanta Hawks",NA,NA,NA,NA,NA
"Alfonzo McKinnie","Cleveland","SF",27,"6' 7""",215,1588231,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Alize Johnson","Indiana","PF",23,"6' 7""",212,1416852,"Indiana Pacers",NA,NA,NA,NA,NA
"Allen Crabbe","Atlanta","SG",27,"6' 5""",212,18500000,"Atlanta Hawks",NA,NA,NA,NA,NA
"Allonzo Trier","New York","SG",23,"6' 4""",200,3551000,"New York Knicks","Out","Dec 20",NA,2019-12-23,2019-12-22
"Amile Jefferson","Orlando","PF",26,"6' 9""",222,1529007,"Orlando Magic",NA,NA,NA,NA,NA
"Amir Coffey","LA Clippers","SG",22,"6' 7""",210,NA,"Los Angeles Clippers",NA,NA,NA,NA,NA
"Andre Drummond","Detroit","C",26,"6' 10""",279,27093019,"Detroit Pistons",NA,NA,NA,NA,NA
"Andre Iguodala","Memphis","SG",35,"6' 6""",215,17185185,"Memphis Grizzlies","Day-To-Day","Dec 19","Dec 25",2019-12-25,2019-12-22
"Andre Roberson","Oklahoma City","SG",28,"6' 7""",210,10740740,"Oklahoma City Thunder","Out",NA,"Jan 1",2020-01-01,2019-12-22
"Andrew Wiggins","Minnesota","SF",24,"6' 7""",197,27504630,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Anfernee Simons",NA,"SG",20,"6' 3""",181,2149560,"Portland Trailblazers",NA,NA,NA,NA,NA
"Ante Zizic","Cleveland","C",22,"6' 10""",266,2281800,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Anthony Davis","LA Lakers","PF",26,"6' 10""",253,27093018,"Los Angeles Lakers","Day-To-Day","Dec 21","Game Time Decision",2019-12-23,2019-12-22
"Anthony Tolliver",NA,"PF",34,"6' 8""",240,1620564,"Portland Trailblazers",NA,NA,NA,NA,NA
"Antonius Cleveland","Dallas","SG",25,"6' 5""",195,NA,"Dallas Mavericks",NA,NA,NA,NA,NA
"Anzejs Pasecniks","Washington","C",24,"7' 1""",220,NA,"Washington Wizards",NA,NA,NA,NA,NA
"Aron Baynes","Phoenix","C",33,"6' 10""",260,5453280,"Phoenix Suns",NA,NA,NA,NA,NA
"Austin Rivers","Houston","PG",27,"6' 3""",200,2147317,"Houston Rockets",NA,NA,NA,NA,NA
"Avery Bradley","LA Lakers","PG",29,"6' 3""",180,4767000,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Bam Adebayo","Miami","C",22,"6' 9""",255,3454080,"Miami Heat",NA,NA,NA,NA,NA
"Ben McLemore","Houston","SG",26,"6' 3""",195,2028594,"Houston Rockets",NA,NA,NA,NA,NA
"Ben Simmons","Philadelphia","PG",23,"6' 10""",240,8113930,"Philadelphia 76ers",NA,NA,NA,NA,NA
